[rosmaster.main][INFO] 2026-08-17 15:41:38,490: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-08-17 15:41:38,490: Starting ROS Master Node
[xmlrpc][INFO] 2026-08-17 15:41:38,520: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2026-08-17 15:41:38,520: Started XML-RPC server [http://yanaibo-ThinkStation-P360-Tower:11311/]
[rosmaster.master][INFO] 2026-08-17 15:41:38,521: Master initialized: port[11311], uri[http://yanaibo-ThinkStation-P360-Tower:11311/]
[xmlrpc][INFO] 2026-08-17 15:41:38,521: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2026-08-17 15:41:38,574: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,574: +PARAM [/roslaunch/uris/host_yanaibo_thinkstation_p360_tower__43867] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,602: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,602: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,602: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,602: +PARAM [/grid_semantic_adapter/input_topic] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,602: +PARAM [/grid_semantic_adapter/output_topic] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,602: +PARAM [/grid_semantic_adapter/obstacle_threshold] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,602: +PARAM [/grid_semantic_adapter/invalid_semantic_label] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,602: +PARAM [/grid_semantic_adapter/traversable_labels] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,602: +PARAM [/grid_semantic_adapter/existing_obstacle_labels] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,602: +PARAM [/grid_semantic_adapter/dynamic_labels] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,602: +PARAM [/grid_semantic_adapter/fallback_obstacle_label] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,602: +PARAM [/grid_semantic_adapter/dynamic_rgb] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,602: +PARAM [/grid_semantic_adapter/unknown_rgb] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,602: +PARAM [/octomap/pointcloud_topic] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,602: +PARAM [/octomap/world_frame_id] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,602: +PARAM [/octomap/use_initial_pose_reference] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,602: +PARAM [/octomap/reference_frame_id] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,602: +PARAM [/octomap/time_jump_reset_threshold] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,603: +PARAM [/octomap/resolution] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,603: +PARAM [/octomap/max_range] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,603: +PARAM [/octomap/raycast_range] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,603: +PARAM [/octomap/clamping_thres_min] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,603: +PARAM [/octomap/clamping_thres_max] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,603: +PARAM [/octomap/occupancy_thres] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,603: +PARAM [/octomap/prob_hit] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,603: +PARAM [/octomap/prob_miss] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,603: +PARAM [/octomap/dynamic_free_updates] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,603: +PARAM [/octomap/dynamic_free_confirmations] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,603: +PARAM [/octomap/psi] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,603: +PARAM [/octomap/phi] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,603: +PARAM [/octomap/publish_2d_map] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,603: +PARAM [/octomap/min_ground_z] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,603: +PARAM [/octomap/max_ground_z] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,603: +PARAM [/octomap/initialize_floor] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,603: +PARAM [/octomap/input_mode] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,603: +PARAM [/octomap/enable_raycast_clearing] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,603: +PARAM [/octomap/obstacle_semantic_colors] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,603: +PARAM [/octomap/save_path] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,603: +PARAM [/far_planner/main_run_freq] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,603: +PARAM [/far_planner/contour_grid_resolution] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,603: +PARAM [/far_planner/enable_goal_recording] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,603: +PARAM [/far_planner/goal_record_file] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,603: +PARAM [/far_planner/robot_dim] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,604: +PARAM [/far_planner/vehicle_height] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,604: +PARAM [/far_planner/sensor_range] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,604: +PARAM [/far_planner/terrain_range] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,604: +PARAM [/far_planner/local_planner_range] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,604: +PARAM [/far_planner/visualize_ratio] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,604: +PARAM [/far_planner/is_viewpoint_extend] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,604: +PARAM [/far_planner/is_multi_layer] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,604: +PARAM [/far_planner/is_opencv_visual] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,604: +PARAM [/far_planner/is_static_env] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,604: +PARAM [/far_planner/is_pub_boundary] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,604: +PARAM [/far_planner/is_debug_output] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,604: +PARAM [/far_planner/is_attempt_autoswitch] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,604: +PARAM [/far_planner/world_frame] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,604: +PARAM [/far_planner/semantic_map_topic] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,604: +PARAM [/far_planner/odom_timeout] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,604: +PARAM [/far_planner/semantic_map_timeout] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,604: +PARAM [/far_planner/odom_connection_update_distance] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,604: +PARAM [/far_planner/GraphMsger/robot_id] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,604: +PARAM [/far_planner/MapHandler/floor_height] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,604: +PARAM [/far_planner/MapHandler/semantic_local_window_radius] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,604: +PARAM [/far_planner/MapHandler/terrain_search_radius] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,604: +PARAM [/far_planner/MapHandler/terrain_neighbor_radius] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,605: +PARAM [/far_planner/MapHandler/local_planner_radius] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,605: +PARAM [/far_planner/MapHandler/local_planner_resolution] by /roslaunch
