

0.000000000  Node Startup
1786670396.682038032 INFO /grid_semantic_adapter [/home/yanaibo/mapless_navigation/SSMI-example/ssmi_ws/src/SSMI/SSMI-Mapping/src/grid_semantic_adapter_node.cpp:232(cloudCallback)] [topics: /rosout, /semantic_pcl/semantic_pcl] grid adapter input=3267, output=3267, high-cost remapped=30, invalid xyz skipped=0
1786670396.682038032 INFO /semantic_octomap [/home/yanaibo/mapless_navigation/SSMI-example/ssmi_ws/src/SSMI/SSMI-Mapping/src/semantic_octomap_node/octomap_generator_ros.cpp:178(captureInitialCloudReference)] [topics: /rosout, /tf_static, /octomap_full, /octomap_color, /occupancy_map_2D] Captured first semantic cloud at 1769605459.257884502: map <- wuba_base, xyz=(-0.422930, -0.195899, -0.000500), yaw=-110.140 deg; octree frame is 'map_start'
1786670398.700590358 INFO /grid_semantic_adapter [/home/yanaibo/mapless_navigation/SSMI-example/ssmi_ws/src/SSMI/SSMI-Mapping/src/grid_semantic_adapter_node.cpp:232(cloudCallback)] [topics: /rosout, /semantic_pcl/semantic_pcl] grid adapter input=13511, output=13511, high-cost remapped=176, invalid xyz skipped=0
1786670400.709640608 INFO /grid_semantic_adapter [/home/yanaibo/mapless_navigation/SSMI-example/ssmi_ws/src/SSMI/SSMI-Mapping/src/grid_semantic_adapter_node.cpp:232(cloudCallback)] [topics: /rosout, /semantic_pcl/semantic_pcl] grid adapter input=15032, output=15032, high-cost remapped=219, invalid xyz skipped=0
1786670402.840250015 INFO /grid_semantic_adapter [/home/yanaibo/mapless_navigation/SSMI-example/ssmi_ws/src/SSMI/SSMI-Mapping/src/grid_semantic_adapter_node.cpp:232(cloudCallback)] [topics: /rosout, /semantic_pcl/semantic_pcl] grid adapter input=15376, output=15376, high-cost remapped=185, invalid xyz skipped=0
1786670404.849312551 INFO /grid_semantic_adapter [/home/yanaibo/mapless_navigation/SSMI-example/ssmi_ws/src/SSMI/SSMI-Mapping/src/grid_semantic_adapter_node.cpp:232(cloudCallback)] [topics: /rosout, /semantic_pcl/semantic_pcl] grid adapter input=16859, output=16859, high-cost remapped=278, invalid xyz skipped=0
1786670406.874843178 INFO /grid_semantic_adapter [/home/yanaibo/mapless_navigation/SSMI-example/ssmi_ws/src/SSMI/SSMI-Mapping/src/grid_semantic_adapter_node.cpp:232(cloudCallback)] [topics: /rosout, /semantic_pcl/semantic_pcl] grid adapter input=19096, output=19096, high-cost remapped=394, invalid xyz skipped=0
1786670408.891587094 INFO /grid_semantic_adapter [/home/yanaibo/mapless_navigation/SSMI-example/ssmi_ws/src/SSMI/SSMI-Mapping/src/grid_semantic_adapter_node.cpp:232(cloudCallback)] [topics: /rosout, /semantic_pcl/semantic_pcl] grid adapter input=20829, output=20829, high-cost remapped=502, invalid xyz skipped=0
1786670410.932463089 INFO /grid_semantic_adapter [/home/yanaibo/mapless_navigation/SSMI-example/ssmi_ws/src/SSMI/SSMI-Mapping/src/grid_semantic_adapter_node.cpp:232(cloudCallback)] [topics: /rosout, /semantic_pcl/semantic_pcl] grid adapter input=21213, output=21213, high-cost remapped=551, invalid xyz skipped=0
1786670413.033548315 INFO /grid_semantic_adapter [/home/yanaibo/mapless_navigation/SSMI-example/ssmi_ws/src/SSMI/SSMI-Mapping/src/grid_semantic_adapter_node.cpp:232(cloudCallback)] [topics: /rosout, /semantic_pcl/semantic_pcl] grid adapter input=20897, output=20897, high-cost remapped=686, invalid xyz skipped=0
1786670415.048832655 INFO /grid_semantic_adapter [/home/yanaibo/mapless_navigation/SSMI-example/ssmi_ws/src/SSMI/SSMI-Mapping/src/grid_semantic_adapter_node.cpp:232(cloudCallback)] [topics: /rosout, /semantic_pcl/semantic_pcl] grid adapter input=20621, output=20621, high-cost remapped=796, invalid xyz skipped=0
1786670417.057306930 INFO /grid_semantic_adapter [/home/yanaibo/mapless_navigation/SSMI-example/ssmi_ws/src/SSMI/SSMI-Mapping/src/grid_semantic_adapter_node.cpp:232(cloudCallback)] [topics: /rosout, /semantic_pcl/semantic_pcl] grid adapter input=20540, output=20540, high-cost remapped=879, invalid xyz skipped=0
1786670419.173985425 INFO /grid_semantic_adapter [/home/yanaibo/mapless_navigation/SSMI-example/ssmi_ws/src/SSMI/SSMI-Mapping/src/grid_semantic_adapter_node.cpp:232(cloudCallback)] [topics: /rosout, /semantic_pcl/semantic_pcl] grid adapter input=21027, output=21027, high-cost remapped=902, invalid xyz skipped=0
1786670421.232142029 INFO /grid_semantic_adapter [/home/yanaibo/mapless_navigation/SSMI-example/ssmi_ws/src/SSMI/SSMI-Mapping/src/grid_semantic_adapter_node.cpp:232(cloudCallback)] [topics: /rosout, /semantic_pcl/semantic_pcl] grid adapter input=21664, output=21664, high-cost remapped=826, invalid xyz skipped=0
1786670423.280055467 INFO /grid_semantic_adapter [/home/yanaibo/mapless_navigation/SSMI-example/ssmi_ws/src/SSMI/SSMI-Mapping/src/grid_semantic_adapter_node.cpp:232(cloudCallback)] [topics: /rosout, /semantic_pcl/semantic_pcl] grid adapter input=22355, output=22355, high-cost remapped=686, invalid xyz skipped=0
1786670425.369694083 INFO /grid_semantic_adapter [/home/yanaibo/mapless_navigation/SSMI-example/ssmi_ws/src/SSMI/SSMI-Mapping/src/grid_semantic_adapter_node.cpp:232(cloudCallback)] [topics: /rosout, /semantic_pcl/semantic_pcl] grid adapter input=21584, output=21584, high-cost remapped=546, invalid xyz skipped=0
1786670427.395351431 INFO /grid_semantic_adapter [/home/yanaibo/mapless_navigation/SSMI-example/ssmi_ws/src/SSMI/SSMI-Mapping/src/grid_semantic_adapter_node.cpp:232(cloudCallback)] [topics: /rosout, /semantic_pcl/semantic_pcl] grid adapter input=20789, output=20789, high-cost remapped=420, invalid xyz skipped=0
1786670429.513131105 INFO /grid_semantic_adapter [/home/yanaibo/mapless_navigation/SSMI-example/ssmi_ws/src/SSMI/SSMI-Mapping/src/grid_semantic_adapter_node.cpp:232(cloudCallback)] [topics: /rosout, /semantic_pcl/semantic_pcl] grid adapter input=20265, output=20265, high-cost remapped=348, invalid xyz skipped=0
1786670431.532879780 INFO /grid_semantic_adapter [/home/yanaibo/mapless_navigation/SSMI-example/ssmi_ws/src/SSMI/SSMI-Mapping/src/grid_semantic_adapter_node.cpp:232(cloudCallback)] [topics: /rosout, /semantic_pcl/semantic_pcl] grid adapter input=19284, output=19284, high-cost remapped=403, invalid xyz skipped=0
1786670433.559511457 INFO /grid_semantic_adapter [/home/yanaibo/mapless_navigation/SSMI-example/ssmi_ws/src/SSMI/SSMI-Mapping/src/grid_semantic_adapter_node.cpp:232(cloudCallback)] [topics: /rosout, /semantic_pcl/semantic_pcl] grid adapter input=18127, output=18127, high-cost remapped=419, invalid xyz skipped=0
1786670435.567681291 INFO /grid_semantic_adapter [/home/yanaibo/mapless_navigation/SSMI-example/ssmi_ws/src/SSMI/SSMI-Mapping/src/grid_semantic_adapter_node.cpp:232(cloudCallback)] [topics: /rosout, /semantic_pcl/semantic_pcl] grid adapter input=17539, output=17539, high-cost remapped=546, invalid xyz skipped=0
1786670437.585308469 INFO /grid_semantic_adapter [/home/yanaibo/mapless_navigation/SSMI-example/ssmi_ws/src/SSMI/SSMI-Mapping/src/grid_semantic_adapter_node.cpp:232(cloudCallback)] [topics: /rosout, /semantic_pcl/semantic_pcl] grid adapter input=17382, output=17382, high-cost remapped=468, invalid xyz skipped=0
