wall_elapsed_s,ros_time,map_stamp,odom_stamp,map_frame,source_odom_frame,graph_frame,goal_frame,path_frame,initial_position_error_m,initial_yaw_error_deg,static_points,dynamic_points,graph_static_points,accumulated_static_points,graph_nodes,graph_edges,graph_components,largest_component,static_graph_nodes,static_graph_edges,static_graph_components,static_graph_largest,static_graph_invalid_frames,robot_component,robot_degree,blocked_edges,path_poses,path_length_m,path_goal_error_m,path_min_clearance_m,graph_edges_checked,graph_min_clearance_m,graph_clearance_violations,robot_static_clearance_m,waypoint_path_distance_m,reached,semantic_snapshot_s,semantic_update_s,semantic_callback_s,main_loop_s
3.407618,1786670396.954054,1769605459.457861,1769605459.457861,map_start,map,map_start,,,0.000000,0.000000,288,0,74,288,20,54,1,20,0,0,0,0,0,20,12,0,0,0.000000,inf,inf,29,0.471781,0,1.428286,inf,0,0.000971,0.000094,0.001101,0.000000
3.407668,1786670396.954054,1769605459.457861,1769605459.457861,map_start,map,map_start,,,0.000000,0.000000,288,0,74,288,20,54,1,20,0,0,0,0,0,20,12,0,0,0.000000,inf,inf,29,0.471781,0,1.428286,inf,0,0.000971,0.000094,0.001101,0.000000
3.811366,1786670397.356748,1769605459.857742,1769605459.857742,map_start,map,map_start,,,0.000000,0.000000,400,0,119,404,20,54,1,20,0,0,0,0,0,20,11,0,0,0.000000,inf,inf,27,0.492241,0,1.311488,inf,0,0.000620,0.000125,0.000755,0.005927
4.214707,1786670397.759454,1769605460.157801,1769605460.157801,map_start,map,map_start,,,0.000000,0.000000,440,0,139,444,21,52,1,21,0,0,0,0,0,21,8,0,0,0.000000,inf,inf,26,0.457477,0,1.039506,inf,0,0.000649,0.000135,0.000794,0.006411
4.618233,1786670398.162923,1769605460.557768,1769605460.557768,map_start,map,map_start,,,0.000000,0.000000,512,0,170,516,21,49,1,21,0,0,0,0,0,21,7,0,0,0.000000,inf,inf,23,0.473785,0,1.039506,inf,0,0.000856,0.000112,0.000977,0.005958
5.011595,1786670398.556172,1769605460.857878,1769605460.957700,map_start,map,map_start,,,0.000000,0.000000,528,0,176,544,21,51,1,21,0,0,0,0,0,21,7,0,0,0.000000,inf,inf,23,0.473785,0,1.039506,inf,0,0.000502,0.000095,0.000605,0.005956
5.414199,1786670398.959926,1769605461.257947,1769605461.257947,map_start,map,map_start,,,0.000000,0.000000,528,0,189,564,19,47,1,19,0,0,0,0,0,19,8,0,0,0.000000,inf,inf,23,0.478615,0,1.041107,inf,0,0.000510,0.000096,0.000614,0.005486
5.819127,1786670399.363860,1769605461.557801,1769605461.657746,map_start,map,map_start,,,0.000000,0.000000,556,0,199,576,21,50,1,21,0,0,0,0,0,21,8,0,0,0.000000,inf,inf,24,0.478615,0,1.041107,inf,0,0.000554,0.000105,0.000668,0.006524
6.216265,1786670399.767627,1769605461.957834,1769605461.957834,map_start,map,map_start,,,0.000000,0.000000,552,0,204,580,21,51,1,21,0,0,0,0,0,21,8,0,0,0.000000,inf,inf,24,0.478615,0,1.041107,inf,0,0.000770,0.000163,0.000944,0.006524
6.619466,1786670400.171196,1769605462.357857,1769605462.357857,map_start,map,map_start,,,0.000000,0.000000,564,0,211,604,20,47,1,20,0,0,0,0,0,20,8,0,0,0.000000,inf,inf,22,0.482220,0,1.039914,inf,0,0.000760,0.000157,0.000927,0.009521
