wall_elapsed_s,ros_time,map_stamp,odom_stamp,map_frame,source_odom_frame,graph_frame,goal_frame,path_frame,initial_position_error_m,initial_yaw_error_deg,static_points,dynamic_points,graph_static_points,accumulated_static_points,graph_nodes,graph_edges,graph_components,largest_component,static_graph_nodes,static_graph_edges,static_graph_components,static_graph_largest,static_graph_invalid_frames,robot_component,robot_degree,blocked_edges,path_poses,path_length_m,path_goal_error_m,path_min_clearance_m,graph_edges_checked,graph_min_clearance_m,graph_clearance_violations,robot_static_clearance_m,waypoint_path_distance_m,reached,semantic_snapshot_s,semantic_update_s,semantic_callback_s,main_loop_s
3.431196,1786670396.962685,1769605459.457861,1769605459.457861,map_start,map,map_start,,,0.000000,0.000000,288,0,74,288,20,54,1,20,0,0,0,0,0,20,12,0,0,0.000000,inf,inf,29,0.471781,0,1.428286,inf,0,0.002418,0.000434,0.002873,0.000000
3.431981,1786670396.962685,1769605459.457861,1769605459.457861,map_start,map,map_start,,,0.000000,0.000000,288,0,74,288,20,54,1,20,0,0,0,0,0,20,12,0,0,0.000000,inf,inf,29,0.471781,0,1.428286,inf,0,0.002418,0.000434,0.002873,0.007528
3.831147,1786670397.367046,1769605459.857742,1769605459.857742,map_start,map,map_start,,,0.000000,0.000000,400,0,119,404,20,54,1,20,0,0,0,0,0,20,11,0,0,0.000000,inf,inf,27,0.492241,0,1.311488,inf,0,0.000438,0.000078,0.000524,0.003231
4.235594,1786670397.770299,1769605460.157801,1769605460.157801,map_start,map,map_start,,,0.000000,0.000000,440,0,139,444,21,52,1,21,0,0,0,0,0,21,8,0,0,0.000000,inf,inf,26,0.457477,0,1.039506,inf,0,0.000468,0.000087,0.000561,0.003905
4.629202,1786670398.163661,1769605460.557768,1769605460.557768,map_start,map,map_start,,,0.000000,0.000000,512,0,170,516,21,49,1,21,0,0,0,0,0,21,7,0,0,0.000000,inf,inf,23,0.473785,0,1.039506,inf,0,0.000473,0.000445,0.000926,0.004820
5.032647,1786670398.567148,1769605460.857878,1769605460.957700,map_start,map,map_start,,,0.000000,0.000000,528,0,176,544,21,51,1,21,0,0,0,0,0,21,7,0,0,0.000000,inf,inf,23,0.473785,0,1.039506,inf,0,0.000499,0.000102,0.000608,0.004730
5.435168,1786670398.969755,1769605461.257947,1769605461.257947,map_start,map,map_start,,,0.000000,0.000000,528,0,189,564,19,47,1,19,0,0,0,0,0,19,8,0,0,0.000000,inf,inf,23,0.478615,0,1.041107,inf,0,0.000502,0.000099,0.000609,0.004537
5.829109,1786670399.362795,1769605461.557801,1769605461.657746,map_start,map,map_start,,,0.000000,0.000000,556,0,199,576,21,50,1,21,1,0,1,1,0,21,8,0,0,0.000000,inf,inf,24,0.478615,0,1.041107,inf,0,0.000535,0.000103,0.000646,0.005282
6.232560,1786670399.766479,1769605461.957834,1769605462.057748,map_start,map,map_start,,,0.000000,0.000000,552,0,204,580,21,51,1,21,1,0,1,1,0,21,8,0,0,0.000000,inf,inf,24,0.478615,0,1.041107,inf,0,0.000534,0.000102,0.000644,0.005282
6.636746,1786670400.170946,1769605462.357857,1769605462.357857,map_start,map,map_start,,,0.000000,0.000000,564,0,211,604,20,47,1,20,1,0,1,1,0,20,8,0,0,0.000000,inf,inf,22,0.482220,0,1.039914,inf,0,0.000540,0.000105,0.000651,0.004887
