wall_elapsed_s,ros_time,map_stamp,odom_stamp,map_frame,source_odom_frame,graph_frame,goal_frame,path_frame,initial_position_error_m,initial_yaw_error_deg,static_points,dynamic_points,graph_static_points,accumulated_static_points,graph_nodes,graph_edges,graph_components,largest_component,robot_component,robot_degree,blocked_edges,path_poses,path_length_m,path_goal_error_m,path_min_clearance_m,graph_edges_checked,graph_min_clearance_m,graph_clearance_violations,robot_static_clearance_m,waypoint_path_distance_m,reached,semantic_snapshot_s,semantic_update_s,semantic_callback_s,main_loop_s
8.921104,1786670396.953713,1769605459.457861,1769605459.457861,map_start,map,map_start,,,0.000000,0.000000,364,0,109,364,22,58,1,22,22,12,0,0,0.000000,inf,inf,32,0.485995,0,1.311488,inf,0,0.000924,0.000113,0.001055,0.003685
8.921165,1786670396.953713,1769605459.457861,1769605459.457861,map_start,map,map_start,,,0.000000,0.000000,364,0,109,364,22,58,1,22,22,12,0,0,0.000000,inf,inf,32,0.485995,0,1.311488,inf,0,0.000924,0.000113,0.001055,0.000065
9.726729,1786670397.357248,1769605459.857742,1769605459.857742,map_start,map,map_start,,,0.000000,0.000000,420,0,133,432,22,57,1,22,22,11,0,0,0.000000,inf,inf,31,0.461736,0,1.039230,inf,0,0.000592,0.000124,0.000725,0.004592
10.525708,1786670397.755603,1769605460.157801,1769605460.157801,map_start,map,map_start,,,0.000000,0.000000,480,0,157,492,23,57,1,23,23,9,0,0,0.000000,inf,inf,29,0.473785,0,1.039506,inf,0,0.000641,0.000149,0.000817,0.005897
11.328391,1786670398.158027,1769605460.557768,1769605460.557768,map_start,map,map_start,,,0.000000,0.000000,536,0,181,544,21,46,1,21,21,7,0,0,0.000000,inf,inf,25,0.473785,0,1.039506,inf,0,0.000460,0.000147,0.000613,0.004404
12.124026,1786670398.556153,1769605460.857878,1769605460.957700,map_start,map,map_start,,,0.000000,0.000000,548,0,185,568,22,49,1,22,22,7,0,0,0.000000,inf,inf,26,0.473785,0,1.039506,inf,0,0.000453,0.000101,0.000561,0.004431
12.921333,1786670398.954205,1769605461.257947,1769605461.257947,map_start,map,map_start,,,0.000000,0.000000,560,0,201,584,22,50,1,22,22,8,0,0,0.000000,inf,inf,28,0.478615,0,1.041107,inf,0,0.000517,0.000108,0.000633,0.004577
13.729095,1786670399.356853,1769605461.557801,1769605461.657746,map_start,map,map_start,,,0.000000,0.000000,564,0,204,588,22,52,1,22,22,8,0,0,0.000000,inf,inf,28,0.478615,0,1.041107,inf,0,0.000723,0.000155,0.000900,0.004577
14.523334,1786670399.754468,1769605461.957834,1769605461.957834,map_start,map,map_start,,,0.000000,0.000000,560,0,207,596,23,54,1,23,23,8,0,0,0.000000,inf,inf,28,0.478615,0,1.041107,inf,0,0.000696,0.000160,0.000868,0.007458
15.320049,1786670400.153754,1769605462.257668,1769605462.357857,map_start,map,map_start,,,0.000000,0.000000,576,0,215,608,22,52,1,22,22,8,0,0,0.000000,inf,inf,27,0.473531,0,1.039914,inf,0,0.000537,0.000106,0.000650,0.004903
16.131888,1786670400.558043,1769605462.657860,1769605462.757703,map_start,map,map_start,,,0.000000,0.000000,624,0,231,656,25,60,1,25,25,8,0,0,0.000000,inf,inf,30,0.476712,0,1.039914,inf,0,0.000747,0.000179,0.000938,0.008205
16.928054,1786670400.955884,1769605463.057787,1769605463.057787,map_start,map,map_start,,,0.000000,0.000000,632,0,231,664,25,59,1,25,25,8,0,0,0.000000,inf,inf,30,0.476712,0,1.039914,inf,0,0.000775,0.000166,0.000963,0.008205
17.734952,1786670401.363762,1769605463.358770,1769605463.457826,map_start,map,map_start,,,0.000000,0.000000,624,0,231,672,29,62,2,27,27,7,0,0,0.000000,inf,inf,31,0.480433,0,1.039317,inf,0,0.000800,0.000172,0.000983,0.009467
18.527257,1786670401.756091,1769605463.757796,1769605463.757796,map_start,map,map_start,,,0.000000,0.000000,636,0,242,704,29,62,2,27,27,7,0,0,0.000000,inf,inf,31,0.455408,0,1.039317,inf,0,0.000595,0.000138,0.000740,0.006828
19.324186,1786670402.154533,1769605464.057722,1769605464.157863,map_start,map,map_start,,,0.000000,0.000000,652,0,245,708,27,62,1,27,27,8,0,0,0.000000,inf,inf,32,0.485456,0,1.037916,inf,0,0.000625,0.000125,0.000756,0.006914
20.134377,1786670402.563738,1769605464.457789,1769605464.457789,map_start,map,map_start,,,0.000000,0.000000,664,0,253,712,29,74,1,29,29,7,0,0,0.000000,inf,inf,31,0.485456,0,1.037916,inf,0,0.000817,0.000187,0.001015,0.008882
