wall_elapsed_s,ros_time,map_stamp,odom_stamp,map_frame,source_odom_frame,graph_frame,goal_frame,path_frame,initial_position_error_m,initial_yaw_error_deg,static_points,dynamic_points,graph_static_points,accumulated_static_points,graph_nodes,graph_edges,graph_components,largest_component,robot_component,robot_degree,blocked_edges,path_poses,path_length_m,path_goal_error_m,path_min_clearance_m,graph_edges_checked,graph_min_clearance_m,graph_clearance_violations,robot_static_clearance_m,waypoint_path_distance_m,reached,semantic_snapshot_s,semantic_update_s,semantic_callback_s,main_loop_s
8.409873,1786670396.953206,1769605459.457861,1769605459.457861,map_start,map,map_start,,,0.000000,0.000000,288,0,74,288,22,58,1,22,22,12,0,0,0.000000,inf,inf,33,0.471781,0,1.428286,inf,0,0.001000,0.000102,0.001127,0.000061
8.409918,1786670396.953206,1769605459.457861,1769605459.457861,map_start,map,map_start,,,0.000000,0.000000,288,0,74,288,22,58,1,22,22,12,0,0,0.000000,inf,inf,33,0.471781,0,1.428286,inf,0,0.001000,0.000102,0.001127,0.000061
8.813281,1786670397.355750,1769605459.857742,1769605459.857742,map_start,map,map_start,,,0.000000,0.000000,400,0,119,404,22,58,1,22,22,11,0,0,0.000000,inf,inf,31,0.492241,0,1.311488,inf,0,0.000623,0.000122,0.000756,0.005119
9.216909,1786670397.758342,1769605460.157801,1769605460.157801,map_start,map,map_start,,,0.000000,0.000000,440,0,139,444,23,53,1,23,23,8,0,0,0.000000,inf,inf,29,0.457477,0,1.039506,inf,0,0.000641,0.000133,0.000784,0.005119
9.618328,1786670398.161224,1769605460.557768,1769605460.557768,map_start,map,map_start,,,0.000000,0.000000,512,0,170,516,23,50,1,23,23,7,0,0,0.000000,inf,inf,27,0.473785,0,1.039506,inf,0,0.000474,0.000107,0.000590,0.004578
10.013982,1786670398.553747,1769605460.857878,1769605460.957700,map_start,map,map_start,,,0.000000,0.000000,528,0,176,544,23,51,1,23,23,7,0,0,0.000000,inf,inf,27,0.473785,0,1.039506,inf,0,0.000708,0.000145,0.000873,0.007297
10.413907,1786670398.956213,1769605461.257947,1769605461.257947,map_start,map,map_start,,,0.000000,0.000000,528,0,189,564,21,45,1,21,21,8,0,0,0.000000,inf,inf,27,0.478615,0,1.041107,inf,0,0.000514,0.000098,0.000622,0.004784
10.819492,1786670399.358824,1769605461.557801,1769605461.657746,map_start,map,map_start,,,0.000000,0.000000,556,0,199,576,23,52,1,23,23,8,0,0,0.000000,inf,inf,28,0.478615,0,1.041107,inf,0,0.000750,0.000151,0.000919,0.007869
11.220263,1786670399.761888,1769605461.957834,1769605461.957834,map_start,map,map_start,,,0.000000,0.000000,552,0,204,580,23,54,1,23,23,8,0,0,0.000000,inf,inf,28,0.478615,0,1.041107,inf,0,0.000573,0.000105,0.000695,0.005238
11.613787,1786670400.154320,1769605462.257668,1769605462.357857,map_start,map,map_start,,,0.000000,0.000000,552,0,205,588,23,54,1,23,23,8,0,0,0.000000,inf,inf,28,0.473531,0,1.039914,inf,0,0.000832,0.000168,0.001012,0.006560
