sequence,system_time,ros_time,message_stamp,source_frame,world_frame,odom_valid,graph_initialized,start_x,start_y,start_z,source_goal_x,source_goal_y,source_goal_z,goal_x,goal_y,goal_z,session_id,selection_in_session,odom_stamp,semantic_map_stamp,odom_age_wall_s,semantic_map_age_wall_s,start_heading_x,start_heading_y,start_heading_z,nav_graph_nodes,static_global_nodes,static_candidate_nodes,dynamic_local_nodes,current_static_points,current_dynamic_points,semantic_graph_dirty,planner_running,previous_waypoint_valid,previous_waypoint_x,previous_waypoint_y,previous_waypoint_z
1,2026-08-11T17:40:44.467,43.409000000,0.000000000,world,world,1,1,3.9759,18.0001,0.2912,8.0000,18.0000,0.3000,8.0000,18.0000,0.3000,,,,,,,,,,,,,,,,,,,,,
2,2026-08-11T17:44:25.966,227.407000000,227.136000000,world,world,1,1,3.9759,18.0001,0.2912,8.0000,18.0000,0.3000,8.0000,18.0000,0.3000,,,,,,,,,,,,,,,,,,,,,
1,2026-08-11T17:50:20.605,18.376000000,18.180000000,world,world,1,1,3.9772,18.0000,0.2901,40.0016,4.5585,0.0000,40.0016,4.5585,0.0000,,,,,,,,,,,,,,,,,,,,,
2,2026-08-11T17:51:33.186,77.570000000,77.186000000,world,world,1,1,36.9171,21.8192,0.2195,15.7165,-46.8163,0.0000,15.7165,-46.8163,0.0000,,,,,,,,,,,,,,,,,,,,,
3,2026-08-11T17:52:10.952,108.382000000,108.010000000,world,world,1,1,34.9002,-4.4858,0.2519,5.6213,-2.9270,0.0000,5.6213,-2.9270,0.0000,,,,,,,,,,,,,,,,,,,,,
4,2026-08-11T17:53:50.387,188.799000000,188.438000000,world,world,1,1,40.7852,-33.9762,0.1689,33.8834,-38.5445,0.0000,33.8834,-38.5445,0.0000,,,,,,,,,,,,,,,,,,,,,
5,2026-08-11T19:21:28.721,34.428000000,34.198000000,world,world,1,1,3.9759,18.0001,0.2912,37.3573,-2.0549,0.0000,37.3573,-2.0549,0.0000,2026-08-11T19:20:54.202,1,34.425000000,34.300000000,0.000635526,0.000081803,1.0000,-0.0001,0.0000,10,4,0,5,152,19,1,0,0,0.0000,0.0000,0.0000
6,2026-08-11T19:26:22.883,47.942000000,47.743000000,world,world,1,1,3.9759,18.0001,0.2912,41.1414,-5.3825,0.0000,41.1414,-5.3825,0.0000,2026-08-11T19:25:46.189,1,47.941000000,47.800000000,0.000837725,0.000135853,1.0000,-0.0001,0.0000,17,4,0,12,152,18,1,0,0,0.0000,0.0000,0.0000
7,2026-08-11T19:30:22.091,244.354000000,244.202000000,world,world,1,1,40.8785,-3.0901,0.2523,-22.9827,-17.6176,0.0000,-22.9827,-17.6176,0.0000,2026-08-11T19:25:46.189,2,244.330000000,244.200000000,0.023236440,0.000919973,0.0651,-0.9979,0.0000,83,89,6,0,1623,11,1,1,1,41.1414,-5.3825,0.3000
8,2026-08-11T19:34:17.440,27.200000000,27.165000000,world,world,1,1,3.9759,18.0001,0.2912,41.0694,-23.5600,0.0000,41.0694,-23.5600,0.0000,2026-08-11T19:33:44.657,1,27.188000000,27.100000000,0.000750257,0.000094873,1.0000,-0.0001,0.0000,13,4,0,8,152,15,1,0,0,0.0000,0.0000,0.0000
