wall_elapsed_s,ros_time,map_stamp,odom_stamp,map_frame,source_odom_frame,graph_frame,goal_frame,path_frame,initial_position_error_m,initial_yaw_error_deg,static_points,dynamic_points,graph_static_points,accumulated_static_points,graph_nodes,graph_edges,graph_components,largest_component,robot_component,robot_degree,blocked_edges,path_poses,path_length_m,path_goal_error_m,path_min_clearance_m,graph_edges_checked,graph_min_clearance_m,graph_clearance_violations,robot_static_clearance_m,waypoint_path_distance_m,reached,semantic_snapshot_s,semantic_update_s,semantic_callback_s,main_loop_s
3.420643,1786670396.965421,1769605459.457861,1769605459.457861,map_start,map,map_start,,,0.000000,0.000000,364,0,109,364,22,58,1,22,22,12,0,0,0.000000,inf,inf,32,0.485995,0,1.311488,inf,0,0.003189,0.000390,0.003609,0.013987
3.420875,1786670396.965421,1769605459.457861,1769605459.457861,map_start,map,map_start,,,0.000000,0.000000,364,0,109,364,22,58,1,22,22,12,0,0,0.000000,inf,inf,32,0.485995,0,1.311488,inf,0,0.003189,0.000390,0.003609,0.000208
3.827048,1786670397.369780,1769605459.857742,1769605459.857742,map_start,map,map_start,,,0.000000,0.000000,420,0,133,432,22,57,1,22,22,11,0,0,0.000000,inf,inf,31,0.461736,0,1.039230,inf,0,0.001811,0.000394,0.002235,0.000208
4.233202,1786670397.783423,1769605460.157801,1769605460.257862,map_start,map,map_start,,,0.000000,0.000000,480,0,157,492,23,57,1,23,23,9,0,0,0.000000,inf,inf,29,0.473785,0,1.039506,inf,0,0.002024,0.000186,0.002230,0.007846
4.629812,1786670398.179087,1769605460.557768,1769605460.557768,map_start,map,map_start,,,0.000000,0.000000,536,0,181,544,21,46,1,21,21,7,0,0,0.000000,inf,inf,25,0.473785,0,1.039506,inf,0,0.002109,0.000485,0.002623,0.007846
5.038119,1786670398.581876,1769605460.857878,1769605460.957700,map_start,map,map_start,,,0.000000,0.000000,548,0,185,568,22,49,1,22,22,7,0,0,0.000000,inf,inf,26,0.473785,0,1.039506,inf,0,0.001753,0.000373,0.002153,0.016243
5.439548,1786670398.984747,1769605461.257947,1769605461.257947,map_start,map,map_start,,,0.000000,0.000000,560,0,201,584,22,50,1,22,22,8,0,0,0.000000,inf,inf,28,0.478615,0,1.041107,inf,0,0.001938,0.000385,0.002346,0.014385
5.830181,1786670399.380029,1769605461.657746,1769605461.657746,map_start,map,map_start,,,0.000000,0.000000,564,0,204,588,22,52,1,22,22,8,0,0,0.000000,inf,inf,28,0.478615,0,1.041107,inf,0,0.002315,0.000496,0.002843,0.010113
6.242560,1786670399.792567,1769605461.957834,1769605462.057748,map_start,map,map_start,,,0.000000,0.000000,560,0,207,596,23,54,1,23,23,8,0,0,0.000000,inf,inf,28,0.478615,0,1.041107,inf,0,0.002191,0.000504,0.002730,0.018975
6.627676,1786670400.176137,1769605462.357857,1769605462.357857,map_start,map,map_start,,,0.000000,0.000000,576,0,215,608,22,52,1,22,22,8,0,0,0.000000,inf,inf,27,0.473531,0,1.039914,inf,0,0.000807,0.000173,0.000992,0.011654
7.036381,1786670400.578764,1769605462.657860,1769605462.757703,map_start,map,map_start,,,0.000000,0.000000,624,0,231,656,25,60,1,25,25,8,0,0,0.000000,inf,inf,30,0.476712,0,1.039914,inf,0,0.002334,0.000521,0.002893,0.016378
7.444325,1786670400.992579,1769605463.057787,1769605463.057787,map_start,map,map_start,,,0.000000,0.000000,632,0,231,664,25,59,1,25,25,8,0,0,0.000000,inf,inf,30,0.476712,0,1.039914,inf,0,0.001961,0.000436,0.002419,0.016378
7.829578,1786670401.376095,1769605463.358770,1769605463.457826,map_start,map,map_start,,,0.000000,0.000000,624,0,231,672,29,62,2,27,27,7,0,0,0.000000,inf,inf,31,0.480433,0,1.039317,inf,0,0.002206,0.000412,0.002644,0.012928
8.231611,1786670401.779467,1769605463.757796,1769605463.757796,map_start,map,map_start,,,0.000000,0.000000,636,0,242,704,29,62,2,27,27,7,0,0,0.000000,inf,inf,31,0.455408,0,1.039317,inf,0,0.002167,0.000434,0.002628,0.011894
8.645607,1786670402.194329,1769605464.157863,1769605464.157863,map_start,map,map_start,map_start,map_start,0.000000,0.000000,652,0,245,708,28,73,1,28,28,8,0,7,9.030992,0.000000,0.830487,43,0.485456,0,1.037916,inf,0,0.002208,0.000427,0.002657,0.021265
9.041853,1786670402.588641,1769605464.457789,1769605464.557767,map_start,map,map_start,map_start,map_start,0.000000,0.000000,664,0,253,712,30,88,1,30,30,7,0,7,8.868074,0.000000,0.845746,45,0.485456,0,1.037916,0.000154,0,0.002073,0.000442,0.002539,0.023461
9.445218,1786670402.992923,1769605464.857798,1769605464.857798,map_start,map,map_start,map_start,map_start,0.000000,0.000000,656,0,250,716,30,88,1,30,30,7,0,7,8.868079,0.000000,0.845746,45,0.485456,0,1.037916,0.000000,0,0.002125,0.000421,0.002570,0.022564
9.837847,1786670403.387248,1769605465.157680,1769605465.257789,map_start,map,map_start,map_start,map_start,0.000000,0.000000,668,0,252,724,30,89,1,30,30,7,0,7,8.864676,0.000000,0.829547,45,0.455827,0,1.037884,0.007155,0,0.002202,0.000422,0.002648,0.020213
10.247095,1786670403.790730,1769605465.557701,1769605465.557701,map_start,map,map_start,map_start,map_start,0.000000,0.000000,660,0,262,740,30,89,1,30,30,7,0,7,8.865018,0.000000,0.829447,44,0.455827,0,1.037884,0.000000,0,0.002541,0.000441,0.003014,0.020213
10.644804,1786670404.194537,1769605465.957759,1769605465.957759,map_start,map,map_start,map_start,map_start,0.000000,0.000000,676,0,285,768,34,114,1,34,34,9,0,7,8.874502,0.000000,0.826723,55,0.486200,0,1.037884,0.000000,0,0.002416,0.000471,0.002916,0.020285
11.043885,1786670404.588996,1769605466.157845,1769605466.257717,map_start,map,map_start,map_start,map_start,0.000000,0.000000,763,0,323,831,38,97,3,36,1,0,0,0,0.000000,inf,inf,33,0.469297,0,0.809739,0.434373,0,0.002669,0.000545,0.003247,0.020285
11.446724,1786670404.992618,1769605466.657809,1769605466.657809,map_start,map,map_start,map_start,map_start,0.000000,0.000000,759,0,326,851,38,93,3,36,1,0,0,0,0.000000,inf,inf,34,0.469297,0,0.809739,inf,0,0.003259,0.000716,0.004006,0.024736
11.838256,1786670405.387791,1769605466.957787,1769605467.057767,map_start,map,map_start,map_start,map_start,0.000000,0.000000,859,0,361,947,38,89,3,36,1,0,0,0,0.000000,inf,inf,28,0.473552,0,0.809739,inf,0,0.003056,0.000576,0.003661,0.023729
12.239509,1786670405.781135,1769605467.357737,1769605467.357737,map_start,map,map_start,map_start,map_start,0.000000,0.000000,923,0,395,1015,43,103,3,41,1,0,0,0,0.000000,inf,inf,39,0.473552,0,0.580748,inf,0,0.001449,0.000268,0.001729,0.018676
12.655018,1786670406.205184,1769605467.657676,1769605467.757705,map_start,map,map_start,map_start,map_start,0.000000,0.000000,1013,0,438,1121,40,81,3,38,1,0,0,0,0.000000,inf,inf,32,0.500046,0,0.580748,inf,0,0.003725,0.000868,0.004623,0.030360
13.045188,1786670406.588980,1769605468.057817,1769605468.057817,map_start,map,map_start,map_start,map_start,0.000000,0.000000,1081,0,482,1169,47,92,3,45,1,0,0,0,0.000000,inf,inf,36,0.489514,0,0.580748,inf,0,0.003411,0.000732,0.004166,0.030360
13.450721,1786670407.001933,1769605468.357821,1769605468.457785,map_start,map,map_start,map_start,map_start,0.000000,0.000000,1259,0,556,1350,50,104,3,48,1,0,0,0,0.000000,inf,inf,43,0.494643,0,0.525080,inf,0,0.003774,0.000860,0.004661,0.029542
13.838023,1786670407.386467,1769605468.757795,1769605468.757795,map_start,map,map_start,map_start,map_start,0.000000,0.000000,1380,0,593,1507,47,98,3,45,1,0,0,0,0.000000,inf,inf,42,0.503252,0,0.525080,inf,0,0.003927,0.000875,0.004822,0.029542
14.253165,1786670407.800225,1769605469.157821,1769605469.157821,map_start,map,map_start,map_start,map_start,0.000000,0.000000,1528,0,653,1639,48,98,3,46,1,0,0,0,0.000000,inf,inf,35,0.492711,0,0.661262,inf,0,0.004162,0.000930,0.005122,0.033614
14.661541,1786670408.205114,1769605469.457753,1769605469.557761,map_start,map,map_start,map_start,map_start,0.000000,0.000000,1676,0,709,1803,42,86,3,40,1,0,0,0,0.000000,inf,inf,28,0.480965,0,0.661262,inf,0,0.004113,0.001028,0.005169,0.036778
15.059120,1786670408.608520,1769605469.857767,1769605469.857767,map_start,map,map_start,map_start,map_start,0.000000,0.000000,1759,0,749,1886,40,78,3,38,1,0,0,0,0.000000,inf,inf,28,0.492046,0,0.792622,inf,0,0.001844,0.000598,0.002460,0.041240
15.456537,1786670409.002707,1769605470.157923,1769605470.257796,map_start,map,map_start,map_start,map_start,0.000000,0.000000,1855,0,796,1978,36,74,3,34,1,0,0,0,0.000000,inf,inf,28,0.477232,0,0.826070,inf,0,0.004305,0.001155,0.005485,0.034308
15.849917,1786670409.398331,1769605470.557749,1769605470.557749,map_start,map,map_start,map_start,map_start,0.000000,0.000000,1960,0,874,2141,42,77,3,40,1,0,0,0,0.000000,inf,inf,33,0.490928,0,0.698414,inf,0,0.004751,0.001240,0.006022,0.034308
16.260823,1786670409.803346,1769605470.957817,1769605470.957817,map_start,map,map_start,map_start,map_start,0.000000,0.000000,2073,0,948,2283,45,86,3,43,1,0,0,0,0.000000,inf,inf,32,0.480954,0,0.327817,inf,0,0.005488,0.001357,0.006875,0.031112
16.656628,1786670410.207481,1769605471.257880,1769605471.357722,map_start,map,map_start,map_start,map_start,0.000000,0.000000,2115,0,992,2356,47,89,3,45,1,0,0,0,0.000000,inf,inf,38,0.476987,0,0.303974,inf,0,0.003805,0.001210,0.005051,0.039994
17.050267,1786670410.592785,1769605471.557762,1769605471.657726,map_start,map,map_start,map_start,map_start,0.000000,0.000000,2103,0,1019,2395,46,90,3,44,1,0,0,0,0.000000,inf,inf,37,0.478427,0,0.358509,inf,0,0.001821,0.000364,0.002197,0.039994
17.460668,1786670411.008293,1769605471.957796,1769605472.057874,map_start,map,map_start,map_start,map_start,0.000000,0.000000,2102,0,1046,2435,47,88,2,46,46,5,0,0,0.000000,inf,inf,41,0.454706,0,0.731921,inf,0,0.004893,0.001156,0.006075,0.042502
17.867222,1786670411.411796,1769605472.257710,1769605472.357723,map_start,map,map_start,map_start,map_start,0.000000,0.000000,2100,0,1061,2459,43,90,2,42,42,8,0,0,0.000000,inf,inf,41,0.474337,0,0.663247,inf,0,0.004338,0.001005,0.005362,0.044979
18.268673,1786670411.816334,1769605472.657699,1769605472.757741,map_start,map,map_start,map_start,map_start,0.000000,0.000000,2140,0,1104,2529,58,141,2,57,57,10,0,3,0.502263,0.000000,0.653717,51,0.468542,0,0.679784,inf,1,0.004676,0.000571,0.005258,0.044979
18.666507,1786670412.210845,1769605473.057774,1769605473.057774,map_start,map,map_start,map_start,map_start,0.000000,0.000000,2187,0,1138,2595,52,117,1,52,52,9,0,3,0.502263,0.000000,0.653717,44,0.474219,0,0.850085,inf,1,0.003862,0.000763,0.004641,0.045620
19.067868,1786670412.615758,1769605473.457622,1769605473.457622,map_start,map,map_start,map_start,map_start,0.000000,0.000000,2237,0,1211,2699,52,108,2,51,1,0,0,3,0.502263,0.000000,0.653717,30,0.471143,0,0.623690,inf,1,0.002423,0.000540,0.002972,0.045620
19.471709,1786670413.018897,1769605473.757843,1769605473.857809,map_start,map,map_start,map_start,map_start,0.000000,0.000000,2285,0,1258,2787,61,144,1,61,61,11,0,3,0.502263,0.000000,0.653717,45,0.474500,0,0.628755,inf,1,0.002245,0.000421,0.002673,0.052870
19.889237,1786670413.432634,1769605474.157850,1769605474.257855,map_start,map,map_start,map_start,map_start,0.000000,0.000000,2346,0,1303,2862,63,135,2,62,1,0,0,3,0.502263,0.000000,0.653717,38,0.472825,0,0.620095,inf,1,0.005864,0.001697,0.007586,0.052264
20.277502,1786670413.827169,1769605474.457772,1769605474.557888,map_start,map,map_start,map_start,map_start,0.000000,0.000000,2437,0,1361,2964,58,125,1,58,58,10,0,3,0.502263,0.000000,0.653717,42,0.498974,0,0.627462,inf,1,0.005439,0.000450,0.005900,0.059870
20.690095,1786670414.232126,1769605474.857772,1769605474.957723,map_start,map,map_start,map_start,map_start,0.000000,0.000000,2465,0,1367,3063,62,129,1,62,62,10,0,3,0.502263,0.000000,0.653717,45,0.496784,0,0.630213,inf,1,0.005106,0.001350,0.006489,0.059870
