wall_elapsed_s,ros_time,map_stamp,odom_stamp,map_frame,source_odom_frame,graph_frame,goal_frame,path_frame,initial_position_error_m,initial_yaw_error_deg,static_points,dynamic_points,graph_static_points,accumulated_static_points,graph_nodes,graph_edges,graph_components,largest_component,robot_component,robot_degree,blocked_edges,path_poses,path_length_m,path_goal_error_m,path_min_clearance_m,graph_edges_checked,graph_min_clearance_m,graph_clearance_violations,robot_static_clearance_m,waypoint_path_distance_m,reached,semantic_snapshot_s,semantic_update_s,semantic_callback_s,main_loop_s
3.826672,1786670396.959134,1769605459.457861,1769605459.457861,map_start,map,map_start,,,0.000000,0.000000,364,0,109,364,22,58,1,22,22,12,0,0,0.000000,inf,inf,32,0.485995,0,1.311488,inf,0,0.002803,0.000397,0.003239,0.013552
3.828956,1786670396.959134,1769605459.457861,1769605459.457861,map_start,map,map_start,,,0.000000,0.000000,364,0,109,364,22,58,1,22,22,12,0,0,0.000000,inf,inf,32,0.485995,0,1.311488,inf,0,0.002803,0.000397,0.003239,0.000247
4.637236,1786670397.362750,1769605459.857742,1769605459.857742,map_start,map,map_start,,,0.000000,0.000000,420,0,133,432,22,57,1,22,22,11,0,0,0.000000,inf,inf,31,0.461736,0,1.039230,inf,0,0.001915,0.000395,0.002342,0.000247
5.436535,1786670397.766165,1769605460.157801,1769605460.157801,map_start,map,map_start,,,0.000000,0.000000,480,0,157,492,23,57,1,23,23,9,0,0,0.000000,inf,inf,29,0.473785,0,1.039506,inf,0,0.002107,0.000400,0.002529,0.010224
6.235814,1786670398.164826,1769605460.557768,1769605460.557768,map_start,map,map_start,,,0.000000,0.000000,536,0,181,544,21,46,1,21,21,7,0,0,0.000000,inf,inf,25,0.473785,0,1.039506,inf,0,0.002039,0.000467,0.002533,0.010224
7.033993,1786670398.563080,1769605460.857878,1769605460.957700,map_start,map,map_start,,,0.000000,0.000000,548,0,185,568,22,49,1,22,22,7,0,0,0.000000,inf,inf,26,0.473785,0,1.039506,inf,0,0.000461,0.000099,0.000565,0.004465
7.837635,1786670398.967370,1769605461.257947,1769605461.257947,map_start,map,map_start,,,0.000000,0.000000,560,0,201,584,22,50,1,22,22,8,0,0,0.000000,inf,inf,28,0.478615,0,1.041107,inf,0,0.001918,0.000391,0.002332,0.009220
8.637243,1786670399.366791,1769605461.557801,1769605461.657746,map_start,map,map_start,,,0.000000,0.000000,564,0,204,588,22,52,1,22,22,8,0,0,0.000000,inf,inf,28,0.478615,0,1.041107,inf,0,0.002087,0.000396,0.002509,0.010050
9.439501,1786670399.766047,1769605461.957834,1769605461.957834,map_start,map,map_start,map_start,map_start,0.000000,0.000000,560,0,207,596,24,64,1,24,24,8,0,4,8.414288,0.000000,0.686913,38,0.478615,0,1.041107,inf,0,0.002296,0.000492,0.002819,0.013119
10.235412,1786670400.165400,1769605462.357857,1769605462.357857,map_start,map,map_start,map_start,map_start,0.000000,0.000000,576,0,215,608,23,62,1,23,23,8,0,4,8.396420,0.000000,0.676005,37,0.473531,0,1.039914,0.137101,0,0.001910,0.000390,0.002321,0.010610
11.042989,1786670400.569133,1769605462.657860,1769605462.757703,map_start,map,map_start,map_start,map_start,0.000000,0.000000,624,0,231,656,26,71,1,26,26,8,0,4,8.396420,0.000000,0.676005,41,0.467247,0,1.039914,0.150000,0,0.002115,0.000398,0.002543,0.010610
11.843933,1786670400.967566,1769605463.057787,1769605463.057787,map_start,map,map_start,map_start,map_start,0.000000,0.000000,632,0,231,664,26,70,1,26,26,8,0,4,8.396420,0.000000,0.676005,41,0.467247,0,1.039914,0.150000,0,0.002277,0.000510,0.002814,0.014650
12.642417,1786670401.366822,1769605463.358770,1769605463.457826,map_start,map,map_start,map_start,map_start,0.000000,0.000000,624,0,231,672,30,73,2,28,28,7,0,7,8.868474,0.000000,0.844625,42,0.480433,0,1.039317,0.359273,0,0.002368,0.000518,0.002914,0.015019
13.437907,1786670401.766036,1769605463.757796,1769605463.757796,map_start,map,map_start,map_start,map_start,0.000000,0.000000,636,0,242,704,30,73,2,28,28,7,0,7,9.099677,0.000000,0.829364,42,0.455408,0,1.039317,0.000502,0,0.002181,0.000430,0.002637,0.012720
14.248927,1786670402.170084,1769605464.057722,1769605464.157863,map_start,map,map_start,map_start,map_start,0.000000,0.000000,652,0,245,708,28,73,1,28,28,8,0,7,9.030992,0.000000,0.830487,43,0.485456,0,1.037916,0.008411,0,0.002400,0.000434,0.002855,0.025276
15.046240,1786670402.569122,1769605464.457789,1769605464.557767,map_start,map,map_start,map_start,map_start,0.000000,0.000000,664,0,253,712,30,88,1,30,30,7,0,7,8.868074,0.000000,0.845746,45,0.485456,0,1.037916,0.000154,0,0.002125,0.000434,0.002579,0.014114
15.838247,1786670402.967841,1769605464.857798,1769605464.857798,map_start,map,map_start,map_start,map_start,0.000000,0.000000,656,0,250,716,30,88,1,30,30,7,0,7,8.868079,0.000000,0.845746,45,0.485456,0,1.037916,0.000000,0,0.000572,0.000116,0.000695,0.008819
16.642619,1786670403.366849,1769605465.157680,1769605465.257789,map_start,map,map_start,map_start,map_start,0.000000,0.000000,668,0,252,724,30,89,1,30,30,7,0,7,8.864676,0.000000,0.829547,45,0.455827,0,1.037884,0.007155,0,0.002190,0.000475,0.002688,0.014873
17.446361,1786670403.771665,1769605465.557701,1769605465.557701,map_start,map,map_start,map_start,map_start,0.000000,0.000000,660,0,262,740,30,89,1,30,30,7,0,7,8.865018,0.000000,0.829447,44,0.455827,0,1.037884,0.000000,0,0.002638,0.000543,0.003215,0.014873
18.250346,1786670404.171685,1769605465.857830,1769605465.957759,map_start,map,map_start,map_start,map_start,0.000000,0.000000,676,0,285,768,34,114,1,34,34,9,0,7,8.874502,0.000000,0.911802,55,0.486200,0,1.037884,0.000000,0,0.002015,0.000380,0.002411,0.018364
19.037946,1786670404.564973,1769605466.157845,1769605466.257717,map_start,map,map_start,map_start,map_start,0.000000,0.000000,763,0,323,831,38,97,3,36,1,0,0,0,0.000000,inf,inf,33,0.469297,0,0.809739,0.434373,0,0.001631,0.000362,0.002010,0.014377
19.838480,1786670404.965315,1769605466.557896,1769605466.657809,map_start,map,map_start,map_start,map_start,0.000000,0.000000,759,0,326,851,38,93,3,36,1,0,0,0,0.000000,inf,inf,34,0.469297,0,0.809739,inf,0,0.002899,0.000526,0.003456,0.014893
20.645249,1786670405.370055,1769605466.957787,1769605466.957787,map_start,map,map_start,map_start,map_start,0.000000,0.000000,859,0,361,947,38,89,3,36,1,0,0,0,0.000000,inf,inf,28,0.473552,0,0.809739,inf,0,0.002969,0.000576,0.003572,0.022347
21.470670,1786670405.783935,1769605467.357737,1769605467.357737,map_start,map,map_start,map_start,map_start,0.000000,0.000000,967,0,412,1047,43,91,3,41,1,0,0,0,0.000000,inf,inf,35,0.493612,0,0.580748,inf,0,0.003614,0.000807,0.004454,0.039820
22.254130,1786670406.173922,1769605467.657676,1769605467.757705,map_start,map,map_start,map_start,map_start,0.000000,0.000000,1013,0,438,1129,41,81,3,39,1,0,0,0,0.000000,inf,inf,33,0.500046,0,0.580748,inf,0,0.003401,0.000689,0.004114,0.021422
23.055596,1786670406.573033,1769605468.057817,1769605468.057817,map_start,map,map_start,map_start,map_start,0.000000,0.000000,1081,0,482,1177,47,92,3,45,1,0,0,0,0.000000,inf,inf,37,0.489514,0,0.580748,inf,0,0.003449,0.000734,0.004204,0.021422
23.856380,1786670406.976866,1769605468.357821,1769605468.457785,map_start,map,map_start,map_start,map_start,0.000000,0.000000,1259,0,556,1354,49,99,3,47,1,0,0,0,0.000000,inf,inf,45,0.494643,0,0.525080,inf,0,0.003958,0.000847,0.004841,0.026718
24.654279,1786670407.371418,1769605468.757795,1769605468.757795,map_start,map,map_start,map_start,map_start,0.000000,0.000000,1380,0,593,1511,47,99,3,45,1,0,0,0,0.000000,inf,inf,43,0.503252,0,0.525080,inf,0,0.004273,0.000873,0.005167,0.027933
25.447606,1786670407.769660,1769605469.057775,1769605469.157821,map_start,map,map_start,map_start,map_start,0.000000,0.000000,1528,0,653,1643,48,99,3,46,1,0,0,0,0.000000,inf,inf,35,0.492711,0,0.661262,inf,0,0.004132,0.000936,0.005099,0.024854
26.254426,1786670408.173055,1769605469.457753,1769605469.457753,map_start,map,map_start,map_start,map_start,0.000000,0.000000,1676,0,709,1807,42,88,3,40,1,0,0,0,0.000000,inf,inf,28,0.480965,0,0.661262,inf,0,0.004052,0.001061,0.005137,0.025390
27.050605,1786670408.571911,1769605469.857767,1769605469.857767,map_start,map,map_start,map_start,map_start,0.000000,0.000000,1735,0,738,1870,41,82,3,39,1,0,0,0,0.000000,inf,inf,28,0.492046,0,0.792622,inf,0,0.001107,0.000271,0.001385,0.025390
27.856720,1786670408.976382,1769605470.157923,1769605470.257796,map_start,map,map_start,map_start,map_start,0.000000,0.000000,1855,0,796,1974,38,78,3,36,1,0,0,0,0.000000,inf,inf,28,0.477232,0,0.826070,inf,0,0.004653,0.001111,0.005792,0.023516
28.662722,1786670409.380270,1769605470.557749,1769605470.557749,map_start,map,map_start,map_start,map_start,0.000000,0.000000,1960,0,874,2137,44,80,3,42,1,0,0,0,0.000000,inf,inf,33,0.490928,0,0.698414,inf,0,0.004915,0.001184,0.006124,0.030790
29.469931,1786670409.779016,1769605470.857691,1769605470.957817,map_start,map,map_start,map_start,map_start,0.000000,0.000000,2073,0,948,2283,47,90,3,45,1,0,0,0,0.000000,inf,inf,33,0.480954,0,0.327817,inf,0,0.005107,0.001346,0.006480,0.038292
30.264578,1786670410.178253,1769605471.257880,1769605471.257880,map_start,map,map_start,map_start,map_start,0.000000,0.000000,2115,0,992,2356,49,94,3,47,1,0,0,0,0.000000,inf,inf,38,0.491750,0,0.322917,inf,0,0.005073,0.001129,0.006225,0.038292
31.060342,1786670410.576985,1769605471.557762,1769605471.657726,map_start,map,map_start,map_start,map_start,0.000000,0.000000,2103,0,1019,2395,47,94,3,45,1,0,0,0,0.000000,inf,inf,38,0.478427,0,0.358509,inf,0,0.002606,0.000777,0.003398,0.032248
31.862619,1786670410.975857,1769605471.957796,1769605472.057874,map_start,map,map_start,map_start,map_start,0.000000,0.000000,2102,0,1046,2435,48,90,2,47,47,5,0,0,0.000000,inf,inf,41,0.454706,0,0.731921,inf,0,0.004805,0.000988,0.005816,0.036814
