wall_elapsed_s,ros_time,map_stamp,odom_stamp,map_frame,source_odom_frame,graph_frame,goal_frame,path_frame,initial_position_error_m,initial_yaw_error_deg,static_points,dynamic_points,graph_static_points,accumulated_static_points,graph_nodes,graph_edges,graph_components,largest_component,robot_component,robot_degree,blocked_edges,path_poses,path_length_m,path_goal_error_m,path_min_clearance_m,graph_edges_checked,graph_min_clearance_m,graph_clearance_violations,robot_static_clearance_m,waypoint_path_distance_m,reached,semantic_snapshot_s,semantic_update_s,semantic_callback_s,main_loop_s
3.837605,1786670396.959069,1769605459.457861,1769605459.457861,map_start,map,map_start,,,0.000000,0.000000,364,0,109,364,22,58,1,22,22,12,0,0,0.000000,inf,inf,32,0.485995,0,1.311488,inf,0,0.003672,0.000829,0.004530,0.016040
3.840894,1786670396.964105,1769605459.457861,1769605459.457861,map_start,map,map_start,,,0.000000,0.000000,364,0,109,364,22,58,1,22,22,12,0,0,0.000000,inf,inf,32,0.485995,0,1.311488,inf,0,0.003672,0.000829,0.004530,0.016040
4.641901,1786670397.362621,1769605459.857742,1769605459.857742,map_start,map,map_start,,,0.000000,0.000000,420,0,133,432,22,57,1,22,22,11,0,0,0.000000,inf,inf,31,0.461736,0,1.039230,inf,0,0.000434,0.000086,0.000527,0.000066
5.452487,1786670397.765495,1769605460.157801,1769605460.157801,map_start,map,map_start,,,0.000000,0.000000,480,0,157,492,23,57,1,23,23,9,0,0,0.000000,inf,inf,29,0.473785,0,1.039506,inf,0,0.001927,0.000457,0.002414,0.017490
6.246183,1786670398.163570,1769605460.557768,1769605460.557768,map_start,map,map_start,,,0.000000,0.000000,536,0,181,544,21,46,1,21,21,7,0,0,0.000000,inf,inf,25,0.473785,0,1.039506,inf,0,0.000706,0.000578,0.001296,0.017490
7.054056,1786670398.567210,1769605460.857878,1769605460.957700,map_start,map,map_start,,,0.000000,0.000000,548,0,185,568,22,49,1,22,22,7,0,0,0.000000,inf,inf,26,0.473785,0,1.039506,inf,0,0.002126,0.000481,0.002640,0.005646
7.852037,1786670398.965545,1769605461.257947,1769605461.257947,map_start,map,map_start,,,0.000000,0.000000,560,0,201,584,22,50,1,22,22,8,0,0,0.000000,inf,inf,28,0.478615,0,1.041107,inf,0,0.001865,0.000397,0.002285,0.016588
8.661346,1786670399.373617,1769605461.557801,1769605461.657746,map_start,map,map_start,,,0.000000,0.000000,564,0,204,588,22,52,1,22,22,8,0,0,0.000000,inf,inf,28,0.478615,0,1.041107,inf,0,0.002187,0.000384,0.002593,0.018589
9.452803,1786670399.766623,1769605461.957834,1769605462.057748,map_start,map,map_start,,,0.000000,0.000000,560,0,207,596,23,54,1,23,23,8,0,0,0.000000,inf,inf,28,0.478615,0,1.041107,inf,0,0.001929,0.000394,0.002346,0.015236
10.242346,1786670400.164817,1769605462.357857,1769605462.357857,map_start,map,map_start,,,0.000000,0.000000,576,0,215,608,22,52,1,22,22,8,0,0,0.000000,inf,inf,27,0.473531,0,1.039914,inf,0,0.001689,0.000300,0.002008,0.009391
11.060998,1786670400.572772,1769605462.657860,1769605462.757703,map_start,map,map_start,,,0.000000,0.000000,624,0,231,656,25,60,1,25,25,8,0,0,0.000000,inf,inf,30,0.476712,0,1.039914,inf,0,0.002424,0.000518,0.002979,0.021294
11.853467,1786670400.970397,1769605463.057787,1769605463.057787,map_start,map,map_start,,,0.000000,0.000000,632,0,231,664,25,59,1,25,25,8,0,0,0.000000,inf,inf,30,0.476712,0,1.039914,inf,0,0.002151,0.000415,0.002597,0.021294
12.656969,1786670401.368524,1769605463.358770,1769605463.457826,map_start,map,map_start,,,0.000000,0.000000,624,0,231,672,29,62,2,27,27,7,0,0,0.000000,inf,inf,31,0.480433,0,1.039317,inf,0,0.002450,0.000508,0.002989,0.018956
13.448943,1786670401.766392,1769605463.757796,1769605463.757796,map_start,map,map_start,,,0.000000,0.000000,636,0,242,704,29,62,2,27,27,7,0,0,0.000000,inf,inf,31,0.455408,0,1.039317,inf,0,0.002133,0.000426,0.002586,0.015827
14.250959,1786670402.164751,1769605464.057722,1769605464.157863,map_start,map,map_start,,,0.000000,0.000000,652,0,245,708,27,62,1,27,27,8,0,0,0.000000,inf,inf,32,0.485456,0,1.037916,inf,0,0.002307,0.000446,0.002774,0.012061
15.052995,1786670402.568280,1769605464.457789,1769605464.557767,map_start,map,map_start,,,0.000000,0.000000,664,0,253,712,29,74,1,29,29,7,0,0,0.000000,inf,inf,31,0.485456,0,1.037916,inf,0,0.002036,0.000453,0.002515,0.012899
15.866188,1786670402.976182,1769605464.857798,1769605464.857798,map_start,map,map_start,,,0.000000,0.000000,656,0,250,716,29,74,1,29,29,7,0,0,0.000000,inf,inf,31,0.485456,0,1.037916,inf,0,0.002580,0.000443,0.003057,0.029663
16.657106,1786670403.369291,1769605465.157680,1769605465.257789,map_start,map,map_start,,,0.000000,0.000000,668,0,252,724,29,75,1,29,29,7,0,0,0.000000,inf,inf,31,0.455827,0,1.037884,inf,0,0.002189,0.000424,0.002644,0.029663
17.458219,1786670403.772256,1769605465.557701,1769605465.557701,map_start,map,map_start,,,0.000000,0.000000,660,0,262,740,29,75,1,29,29,7,0,0,0.000000,inf,inf,30,0.455827,0,1.037884,inf,0,0.002463,0.000438,0.002933,0.020367
18.261985,1786670404.170970,1769605465.857830,1769605465.957759,map_start,map,map_start,,,0.000000,0.000000,676,0,285,768,33,97,1,33,33,9,0,0,0.000000,inf,inf,38,0.486200,0,1.037884,inf,0,0.003355,0.000578,0.003969,0.026002
19.056495,1786670404.568784,1769605466.157845,1769605466.257717,map_start,map,map_start,,,0.000000,0.000000,763,0,323,831,37,97,2,36,1,0,0,0,0.000000,inf,inf,33,0.469297,0,0.809739,inf,0,0.002661,0.000531,0.003224,0.015665
19.866039,1786670404.973362,1769605466.557896,1769605466.657809,map_start,map,map_start,,,0.000000,0.000000,759,0,326,851,37,93,2,36,1,0,0,0,0.000000,inf,inf,34,0.469297,0,0.809739,inf,0,0.002719,0.000611,0.003435,0.026106
20.665321,1786670405.376448,1769605466.957787,1769605467.057767,map_start,map,map_start,,,0.000000,0.000000,859,0,361,947,37,89,2,36,1,0,0,0,0.000000,inf,inf,28,0.473552,0,0.809739,inf,0,0.002819,0.000569,0.003412,0.029240
21.462335,1786670405.770062,1769605467.357737,1769605467.357737,map_start,map,map_start,,,0.000000,0.000000,967,0,412,1047,42,91,2,41,1,0,0,0,0.000000,inf,inf,35,0.493612,0,0.580748,inf,0,0.002388,0.000426,0.002830,0.029313
22.274170,1786670406.178761,1769605467.657676,1769605467.757705,map_start,map,map_start,,,0.000000,0.000000,1013,0,438,1129,40,81,2,39,1,0,0,0,0.000000,inf,inf,33,0.500046,0,0.580748,inf,0,0.003266,0.000680,0.003972,0.029313
23.067025,1786670406.572810,1769605468.057817,1769605468.057817,map_start,map,map_start,,,0.000000,0.000000,1081,0,482,1177,46,92,2,45,1,0,0,0,0.000000,inf,inf,37,0.489514,0,0.580748,inf,0,0.003435,0.000728,0.004190,0.027789
23.856404,1786670406.971465,1769605468.357821,1769605468.457785,map_start,map,map_start,,,0.000000,0.000000,1259,0,556,1354,48,99,2,47,1,0,0,0,0.000000,inf,inf,45,0.494643,0,0.525080,inf,0,0.001194,0.000230,0.001432,0.019430
24.673663,1786670407.379851,1769605468.757795,1769605468.757795,map_start,map,map_start,,,0.000000,0.000000,1380,0,593,1511,46,99,2,45,1,0,0,0,0.000000,inf,inf,43,0.503252,0,0.525080,inf,0,0.004552,0.001156,0.005737,0.019430
25.483394,1786670407.783894,1769605469.157821,1769605469.157821,map_start,map,map_start,,,0.000000,0.000000,1528,0,653,1643,47,99,2,46,1,0,0,0,0.000000,inf,inf,35,0.492711,0,0.661262,inf,0,0.004405,0.001210,0.005653,0.040412
