wall_elapsed_s,ros_time,map_stamp,odom_stamp,map_frame,source_odom_frame,graph_frame,goal_frame,path_frame,initial_position_error_m,initial_yaw_error_deg,static_points,dynamic_points,graph_static_points,accumulated_static_points,graph_nodes,graph_edges,graph_components,largest_component,robot_component,robot_degree,blocked_edges,path_poses,path_length_m,path_goal_error_m,path_min_clearance_m,graph_edges_checked,graph_min_clearance_m,graph_clearance_violations,waypoint_path_distance_m,reached,semantic_snapshot_s,semantic_update_s,semantic_callback_s,main_loop_s
3.428000,1786670396.966781,1769605459.457861,1769605459.457861,map_start,map,map_start,,,0.000000,0.000000,364,0,109,364,22,58,1,22,22,12,0,0,0.000000,inf,inf,32,0.485995,0,inf,0,0.003542,0.000486,0.004062,0.000000
3.431882,1786670396.976914,1769605459.457861,1769605459.457861,map_start,map,map_start,,,0.000000,0.000000,364,0,109,364,22,58,1,22,22,12,0,0,0.000000,inf,inf,32,0.485995,0,inf,0,0.003542,0.000486,0.004062,0.000209
3.841564,1786670397.381759,1769605459.857742,1769605459.857742,map_start,map,map_start,,,0.000000,0.000000,420,0,133,432,22,57,1,22,22,11,0,0,0.000000,inf,inf,31,0.461736,0,inf,0,0.001770,0.000316,0.002112,0.000209
4.239854,1786670397.785670,1769605460.157801,1769605460.257862,map_start,map,map_start,,,0.000000,0.000000,480,0,157,492,23,57,1,23,23,9,0,0,0.000000,inf,inf,29,0.473785,0,inf,0,0.001722,0.000370,0.002114,0.008646
4.640249,1786670398.179526,1769605460.557768,1769605460.557768,map_start,map,map_start,,,0.000000,0.000000,536,0,181,544,21,46,1,21,21,7,0,0,0.000000,inf,inf,25,0.473785,0,inf,0,0.001747,0.000382,0.002154,0.008646
5.045705,1786670398.583124,1769605460.957700,1769605460.957700,map_start,map,map_start,,,0.000000,0.000000,548,0,185,568,22,49,1,22,22,7,0,0,0.000000,inf,inf,26,0.473785,0,inf,0,0.002030,0.000456,0.002515,0.014846
5.437593,1786670398.977334,1769605461.257947,1769605461.257947,map_start,map,map_start,,,0.000000,0.000000,560,0,201,584,22,50,1,22,22,8,0,0,0.000000,inf,inf,28,0.478615,0,inf,0,0.002271,0.000497,0.002793,0.014142
5.835959,1786670399.381749,1769605461.657746,1769605461.657746,map_start,map,map_start,,,0.000000,0.000000,564,0,204,588,22,52,1,22,22,8,0,0,0.000000,inf,inf,28,0.478615,0,inf,0,0.002001,0.000390,0.002416,0.014142
6.250080,1786670399.786242,1769605461.957834,1769605462.057748,map_start,map,map_start,,,0.000000,0.000000,560,0,207,596,23,54,1,23,23,8,0,0,0.000000,inf,inf,28,0.478615,0,inf,0,0.001866,0.000404,0.002299,0.009621
6.639623,1786670400.179317,1769605462.357857,1769605462.357857,map_start,map,map_start,,,0.000000,0.000000,576,0,215,608,22,52,1,22,22,8,0,0,0.000000,inf,inf,27,0.473531,0,inf,0,0.002333,0.000496,0.002857,0.014364
7.040464,1786670400.583038,1769605462.657860,1769605462.757703,map_start,map,map_start,,,0.000000,0.000000,624,0,231,656,25,60,1,25,25,8,0,0,0.000000,inf,inf,30,0.476712,0,inf,0,0.002387,0.000533,0.002948,0.012548
7.427296,1786670400.967205,1769605463.057787,1769605463.057787,map_start,map,map_start,,,0.000000,0.000000,632,0,231,664,25,59,1,25,25,8,0,0,0.000000,inf,inf,30,0.476712,0,inf,0,0.000531,0.000106,0.000645,0.012548
7.841227,1786670401.381634,1769605463.358770,1769605463.457826,map_start,map,map_start,,,0.000000,0.000000,624,0,231,672,29,62,2,27,27,7,0,0,0.000000,inf,inf,31,0.480433,0,inf,0,0.002421,0.000520,0.002970,0.014062
8.255429,1786670401.797036,1769605463.757796,1769605463.857845,map_start,map,map_start,,,0.000000,0.000000,636,0,242,704,29,62,2,27,27,7,0,0,0.000000,inf,inf,31,0.455408,0,inf,0,0.002050,0.000426,0.002503,0.014062
8.644787,1786670402.190333,1769605464.157863,1769605464.157863,map_start,map,map_start,map_start,map_start,0.000000,0.000000,652,0,245,708,28,73,1,28,28,8,0,7,9.030992,0.000000,0.830487,43,0.485456,0,inf,0,0.002177,0.000502,0.002699,0.016561
9.052203,1786670402.594700,1769605464.457789,1769605464.557767,map_start,map,map_start,map_start,map_start,0.000000,0.000000,664,0,253,712,30,88,1,30,30,7,0,7,8.868074,0.000000,0.845746,45,0.485456,0,0.000154,0,0.002411,0.000442,0.002882,0.021818
9.440145,1786670402.978248,1769605464.857798,1769605464.857798,map_start,map,map_start,map_start,map_start,0.000000,0.000000,656,0,250,716,30,88,1,30,30,7,0,7,8.868079,0.000000,0.845746,45,0.485456,0,0.000000,0,0.002135,0.000428,0.002592,0.016805
9.841889,1786670403.382067,1769605465.157680,1769605465.257789,map_start,map,map_start,map_start,map_start,0.000000,0.000000,668,0,252,724,30,89,1,30,30,7,0,7,8.864676,0.000000,0.829547,45,0.455827,0,0.007155,0,0.002085,0.000425,0.002535,0.013289
10.254816,1786670403.794698,1769605465.557701,1769605465.557701,map_start,map,map_start,map_start,map_start,0.000000,0.000000,660,0,262,740,30,89,1,30,30,7,0,7,8.865018,0.000000,0.829447,44,0.455827,0,0.000000,0,0.002813,0.000436,0.003281,0.013289
10.641455,1786670404.179626,1769605465.957759,1769605465.957759,map_start,map,map_start,map_start,map_start,0.000000,0.000000,676,0,285,768,34,114,1,34,34,9,0,7,8.874502,0.000000,0.911802,55,0.486200,0,0.000000,0,0.002376,0.000469,0.002873,0.015590
11.047933,1786670404.584097,1769605466.157845,1769605466.257717,map_start,map,map_start,map_start,map_start,0.000000,0.000000,763,0,323,831,38,97,3,36,1,0,0,0,0.000000,inf,inf,33,0.469297,0,0.434373,0,0.001562,0.000208,0.001779,0.015590
11.442807,1786670404.987208,1769605466.657809,1769605466.657809,map_start,map,map_start,map_start,map_start,0.000000,0.000000,759,0,326,851,38,93,3,36,1,0,0,0,0.000000,inf,inf,34,0.469297,0,inf,0,0.002750,0.000534,0.003314,0.021012
11.857683,1786670405.401930,1769605466.957787,1769605467.057767,map_start,map,map_start,map_start,map_start,0.000000,0.000000,859,0,361,947,38,89,3,36,1,0,0,0,0.000000,inf,inf,28,0.473552,0,inf,0,0.003293,0.000806,0.004129,0.021012
12.264669,1786670405.804615,1769605467.357737,1769605467.357737,map_start,map,map_start,map_start,map_start,0.000000,0.000000,967,0,412,1047,43,91,3,41,1,0,0,0,0.000000,inf,inf,35,0.493612,0,inf,0,0.002668,0.000628,0.003319,0.030566
12.643376,1786670406.179851,1769605467.657676,1769605467.757705,map_start,map,map_start,map_start,map_start,0.000000,0.000000,1013,0,438,1129,41,81,3,39,1,0,0,0,0.000000,inf,inf,33,0.500046,0,inf,0,0.003745,0.000689,0.004457,0.017999
13.054594,1786670406.594157,1769605468.057817,1769605468.157862,map_start,map,map_start,map_start,map_start,0.000000,0.000000,1081,0,482,1177,47,92,3,45,1,0,0,0,0.000000,inf,inf,38,0.489514,0,inf,0,0.004051,0.000768,0.004848,0.024976
13.452005,1786670406.997697,1769605468.357821,1769605468.457785,map_start,map,map_start,map_start,map_start,0.000000,0.000000,1259,0,556,1354,49,99,3,47,1,0,0,0,0.000000,inf,inf,45,0.494643,0,inf,0,0.003634,0.000818,0.004479,0.029427
13.847784,1786670407.392191,1769605468.757795,1769605468.757795,map_start,map,map_start,map_start,map_start,0.000000,0.000000,1380,0,593,1511,47,99,3,45,1,0,0,0,0.000000,inf,inf,43,0.503252,0,inf,0,0.003114,0.000793,0.003925,0.029427
14.250005,1786670407.786193,1769605469.157821,1769605469.157821,map_start,map,map_start,map_start,map_start,0.000000,0.000000,1528,0,653,1643,48,99,3,46,1,0,0,0,0.000000,inf,inf,35,0.492711,0,inf,0,0.000999,0.000240,0.001246,0.018991
14.652246,1786670408.190436,1769605469.457753,1769605469.557761,map_start,map,map_start,map_start,map_start,0.000000,0.000000,1676,0,709,1807,42,88,3,40,1,0,0,0,0.000000,inf,inf,28,0.480965,0,inf,0,0.004592,0.001038,0.005662,0.026747
15.067096,1786670408.604271,1769605469.857767,1769605469.857767,map_start,map,map_start,map_start,map_start,0.000000,0.000000,1759,0,749,1890,41,82,3,39,1,0,0,0,0.000000,inf,inf,28,0.492046,0,inf,0,0.002569,0.000733,0.003319,0.037625
15.457200,1786670408.998143,1769605470.157923,1769605470.257796,map_start,map,map_start,map_start,map_start,0.000000,0.000000,1855,0,796,1978,38,78,3,36,1,0,0,0,0.000000,inf,inf,28,0.477232,0,inf,0,0.004233,0.001164,0.005423,0.037625
15.866596,1786670409.411277,1769605470.557749,1769605470.657722,map_start,map,map_start,map_start,map_start,0.000000,0.000000,1960,0,874,2141,44,80,3,42,1,0,0,0,0.000000,inf,inf,32,0.490928,0,inf,0,0.005090,0.001268,0.006391,0.040428
16.260276,1786670409.804924,1769605470.857691,1769605470.957817,map_start,map,map_start,map_start,map_start,0.000000,0.000000,2073,0,948,2283,47,89,3,45,1,0,0,0,0.000000,inf,inf,32,0.480954,0,inf,0,0.004983,0.000678,0.005681,0.029912
16.658917,1786670410.200151,1769605471.257880,1769605471.357722,map_start,map,map_start,map_start,map_start,0.000000,0.000000,2115,0,992,2356,49,93,3,47,1,0,0,0,0.000000,inf,inf,38,0.476987,0,inf,0,0.004706,0.001354,0.006090,0.029912
17.060894,1786670410.604834,1769605471.557762,1769605471.657726,map_start,map,map_start,map_start,map_start,0.000000,0.000000,2103,0,1019,2395,47,92,3,45,1,0,0,0,0.000000,inf,inf,37,0.478427,0,inf,0,0.005449,0.001352,0.006827,0.030762
17.470096,1786670411.008042,1769605471.957796,1769605472.057874,map_start,map,map_start,map_start,map_start,0.000000,0.000000,2102,0,1046,2435,48,90,2,47,47,5,0,0,0.000000,inf,inf,41,0.454706,0,inf,0,0.005443,0.001322,0.006792,0.046950
17.886729,1786670411.432306,1769605472.357723,1769605472.457777,map_start,map,map_start,map_start,map_start,0.000000,0.000000,2100,0,1061,2459,44,92,2,43,43,8,0,0,0.000000,inf,inf,41,0.474337,0,inf,0,0.006362,0.000543,0.006914,0.058803
18.296868,1786670411.837504,1769605472.757741,1769605472.757741,map_start,map,map_start,map_start,map_start,0.000000,0.000000,2140,0,1104,2529,59,143,2,58,58,10,0,3,0.502263,0.000000,0.653717,51,0.468542,0,inf,1,0.006166,0.001464,0.007664,0.063627
18.672910,1786670412.211087,1769605473.057774,1769605473.057774,map_start,map,map_start,map_start,map_start,0.000000,0.000000,2187,0,1138,2595,52,117,1,52,52,9,0,3,0.502263,0.000000,0.653717,44,0.474219,0,inf,1,0.003904,0.000788,0.004708,0.046031
19.098373,1786670412.635207,1769605473.457622,1769605473.457622,map_start,map,map_start,map_start,map_start,0.000000,0.000000,2237,0,1211,2699,52,108,2,51,1,0,0,3,0.502263,0.000000,0.653717,30,0.471143,0,inf,1,0.007043,0.001519,0.008585,0.068095
19.483077,1786670413.019706,1769605473.757843,1769605473.857809,map_start,map,map_start,map_start,map_start,0.000000,0.000000,2285,0,1258,2787,61,144,1,61,61,11,0,3,0.502263,0.000000,0.653717,45,0.474500,0,inf,1,0.005821,0.001623,0.007477,0.058435
19.892424,1786670413.435536,1769605474.157850,1769605474.257855,map_start,map,map_start,map_start,map_start,0.000000,0.000000,2346,0,1303,2862,63,135,2,62,1,0,0,3,0.502263,0.000000,0.653717,38,0.472825,0,inf,1,0.006202,0.001667,0.007899,0.058435
20.282787,1786670413.820139,1769605474.457772,1769605474.557888,map_start,map,map_start,map_start,map_start,0.000000,0.000000,2437,0,1361,2964,58,125,1,58,58,10,0,3,0.502263,0.000000,0.653717,42,0.498974,0,inf,1,0.005733,0.000462,0.006204,0.061635
20.706759,1786670414.245841,1769605474.857772,1769605474.957723,map_start,map,map_start,map_start,map_start,0.000000,0.000000,2465,0,1367,3063,62,129,1,62,62,10,0,3,0.502263,0.000000,0.653717,45,0.496784,0,inf,1,0.006312,0.001777,0.008117,0.057718
21.086762,1786670414.630509,1769605475.257842,1769605475.257842,map_start,map,map_start,map_start,map_start,0.000000,0.000000,2532,0,1415,3157,62,129,1,62,62,10,0,3,0.502263,0.000000,0.653717,44,0.484266,0,inf,1,0.006881,0.001444,0.008348,0.075585
21.503200,1786670415.045148,1769605475.557784,1769605475.657791,map_start,map,map_start,map_start,map_start,0.000000,0.000000,2529,0,1423,3207,61,125,1,61,61,10,0,3,0.502263,0.000000,0.653717,43,0.487127,0,inf,1,0.006843,0.001788,0.008656,0.072918
21.875082,1786670415.417958,1769605475.957720,1769605475.957720,map_start,map,map_start,map_start,map_start,0.000000,0.000000,2614,0,1474,3319,59,120,1,59,59,10,0,3,0.502263,0.000000,0.653717,40,0.493676,0,inf,1,0.001885,0.000473,0.002366,0.051686
22.307606,1786670415.852342,1769605476.357736,1769605476.357736,map_start,map,map_start,map_start,map_start,0.000000,0.000000,2668,0,1522,3415,68,155,1,68,68,11,0,3,0.502263,0.000000,0.653717,42,0.486627,0,inf,1,0.007170,0.001527,0.008723,0.051686
22.703032,1786670416.245644,1769605476.657813,1769605476.757694,map_start,map,map_start,map_start,map_start,0.000000,0.000000,2620,0,1542,3451,69,157,1,69,69,11,0,3,0.502263,0.000000,0.653717,43,0.490302,0,inf,1,0.003107,0.000510,0.003626,0.071105
23.117232,1786670416.659758,1769605477.057748,1769605477.057748,map_start,map,map_start,map_start,map_start,0.000000,0.000000,2586,0,1561,3507,65,148,1,65,65,11,0,3,0.502263,0.000000,0.653717,40,0.483044,0,inf,1,0.008668,0.002493,0.011188,0.091348
23.523449,1786670417.064989,1769605477.357692,1769605477.457819,map_start,map,map_start,map_start,map_start,0.000000,0.000000,2624,0,1618,3579,74,174,1,74,74,12,0,3,0.502263,0.000000,0.653717,44,0.487196,0,inf,1,0.005731,0.001918,0.007673,0.093133
23.921337,1786670417.459221,1769605477.757705,1769605477.857872,map_start,map,map_start,map_start,map_start,0.000000,0.000000,2639,0,1667,3678,77,175,1,77,77,11,0,3,0.502263,0.000000,0.653717,46,0.503409,0,inf,1,0.008830,0.001493,0.010353,0.095891
24.335774,1786670417.874607,1769605478.157815,1769605478.157815,map_start,map,map_start,map_start,map_start,0.000000,0.000000,2626,0,1717,3752,84,188,1,84,84,11,0,3,0.502263,0.000000,0.653717,52,0.508958,0,inf,1,0.004306,0.001308,0.005628,0.095891
24.742119,1786670418.287055,1769605478.457741,1769605478.557788,map_start,map,map_start,map_start,map_start,0.000000,0.000000,2615,0,1726,3841,84,191,1,84,84,11,0,3,0.502263,0.000000,0.653717,51,0.485688,0,inf,1,0.006775,0.000513,0.007295,0.108985
25.136276,1786670418.680470,1769605478.857793,1769605478.857793,map_start,map,map_start,map_start,map_start,0.000000,0.000000,2664,0,1799,3952,81,172,2,80,1,0,0,3,0.502263,0.000000,0.653717,37,0.466896,0,inf,1,0.007134,0.000560,0.007701,0.110759
25.547051,1786670419.084455,1769605479.157781,1769605479.257838,map_start,map,map_start,map_start,map_start,0.000000,0.000000,2701,0,1856,4047,82,180,1,82,82,11,0,3,0.502263,0.000000,0.653717,53,0.475514,0,inf,1,0.007285,0.001337,0.008639,0.110759
25.953442,1786670419.498956,1769605479.457722,1769605479.657710,map_start,map,map_start,map_start,map_start,0.000000,0.000000,2716,0,1952,4171,81,165,2,80,1,0,0,3,0.502263,0.000000,0.653717,41,0.474401,0,inf,1,0.009383,0.002320,0.011730,0.130681
