wall_elapsed_s,ros_time,map_stamp,odom_stamp,map_frame,source_odom_frame,graph_frame,goal_frame,path_frame,initial_position_error_m,initial_yaw_error_deg,static_points,dynamic_points,graph_static_points,accumulated_static_points,graph_nodes,graph_edges,graph_components,largest_component,robot_component,robot_degree,blocked_edges,path_poses,path_length_m,path_goal_error_m,path_min_clearance_m,graph_edges_checked,graph_min_clearance_m,graph_clearance_violations,waypoint_path_distance_m,reached,semantic_snapshot_s,semantic_update_s,semantic_callback_s,main_loop_s
3.824543,1786670396.960175,1769605459.457861,1769605459.457861,map_start,map,map_start,,,0.000000,0.000000,364,0,109,364,22,58,1,22,22,12,0,0,0.000000,inf,inf,32,0.485995,0,inf,0,0.003461,0.000477,0.003965,0.000000
4.637905,1786670397.369519,1769605459.857742,1769605459.857742,map_start,map,map_start,,,0.000000,0.000000,420,0,133,432,22,57,1,22,22,11,0,0,0.000000,inf,inf,31,0.461736,0,inf,0,0.001860,0.000389,0.002276,0.010313
5.440761,1786670397.768386,1769605460.157801,1769605460.157801,map_start,map,map_start,,,0.000000,0.000000,480,0,157,492,23,57,1,23,23,9,0,0,0.000000,inf,inf,29,0.473785,0,inf,0,0.001665,0.000572,0.002265,0.010313
6.237468,1786670398.168282,1769605460.557768,1769605460.557768,map_start,map,map_start,,,0.000000,0.000000,536,0,181,544,21,46,1,21,21,7,0,0,0.000000,inf,inf,25,0.473785,0,inf,0,0.001761,0.000386,0.002170,0.015459
7.041367,1786670398.567456,1769605460.857878,1769605460.957700,map_start,map,map_start,,,0.000000,0.000000,548,0,185,568,22,49,1,22,22,7,0,0,0.000000,inf,inf,26,0.473785,0,inf,0,0.002053,0.000466,0.002545,0.011652
7.832403,1786670398.966139,1769605461.257947,1769605461.257947,map_start,map,map_start,,,0.000000,0.000000,560,0,201,584,22,50,1,22,22,8,0,0,0.000000,inf,inf,28,0.478615,0,inf,0,0.002252,0.000435,0.002709,0.012122
8.648235,1786670399.375310,1769605461.557801,1769605461.657746,map_start,map,map_start,,,0.000000,0.000000,564,0,204,588,22,52,1,22,22,8,0,0,0.000000,inf,inf,28,0.478615,0,inf,0,0.002277,0.000477,0.002780,0.012122
9.444903,1786670399.769404,1769605461.957834,1769605462.057748,map_start,map,map_start,,,0.000000,0.000000,560,0,207,596,23,54,1,23,23,8,0,0,0.000000,inf,inf,28,0.478615,0,inf,0,0.002036,0.000398,0.002464,0.020215
10.246074,1786670400.173794,1769605462.357857,1769605462.357857,map_start,map,map_start,,,0.000000,0.000000,576,0,216,616,22,52,1,22,22,8,0,0,0.000000,inf,inf,27,0.476712,0,inf,0,0.001769,0.000356,0.002147,0.017832
11.033733,1786670400.567988,1769605462.657860,1769605462.757703,map_start,map,map_start,,,0.000000,0.000000,624,0,231,660,25,60,1,25,25,8,0,0,0.000000,inf,inf,30,0.476712,0,inf,0,0.001941,0.000408,0.002412,0.019694
11.845439,1786670400.973450,1769605463.057787,1769605463.057787,map_start,map,map_start,,,0.000000,0.000000,632,0,231,668,25,59,1,25,25,8,0,0,0.000000,inf,inf,30,0.476712,0,inf,0,0.002441,0.000416,0.002886,0.020495
12.637546,1786670401.367652,1769605463.358770,1769605463.457826,map_start,map,map_start,,,0.000000,0.000000,624,0,231,676,29,62,2,27,27,7,0,0,0.000000,inf,inf,31,0.480433,0,inf,0,0.002486,0.000453,0.002969,0.020495
13.428950,1786670401.761729,1769605463.757796,1769605463.757796,map_start,map,map_start,,,0.000000,0.000000,636,0,242,708,29,62,2,27,27,7,0,0,0.000000,inf,inf,31,0.455408,0,inf,0,0.000730,0.000114,0.000851,0.013546
14.225911,1786670402.160792,1769605464.057722,1769605464.157863,map_start,map,map_start,,,0.000000,0.000000,652,0,245,712,27,62,1,27,27,8,0,0,0.000000,inf,inf,32,0.485456,0,inf,0,0.000593,0.000119,0.000718,0.007022
15.032044,1786670402.565796,1769605464.457789,1769605464.557767,map_start,map,map_start,,,0.000000,0.000000,664,0,253,716,29,74,1,29,29,7,0,0,0.000000,inf,inf,31,0.485456,0,inf,0,0.000565,0.000116,0.000688,0.007031
15.850434,1786670402.974293,1769605464.857798,1769605464.857798,map_start,map,map_start,,,0.000000,0.000000,656,0,250,716,29,74,1,29,29,7,0,0,0.000000,inf,inf,31,0.485456,0,inf,0,0.002091,0.000431,0.002547,0.012269
16.650281,1786670403.374256,1769605465.157680,1769605465.257789,map_start,map,map_start,,,0.000000,0.000000,668,0,252,724,29,75,1,29,29,7,0,0,0.000000,inf,inf,31,0.455827,0,inf,0,0.001779,0.000342,0.002141,0.023833
17.439826,1786670403.768675,1769605465.557701,1769605465.557701,map_start,map,map_start,,,0.000000,0.000000,660,0,262,740,29,75,1,29,29,7,0,0,0.000000,inf,inf,31,0.455827,0,inf,0,0.002597,0.000445,0.003074,0.022797
18.255734,1786670404.177545,1769605465.857830,1769605465.957759,map_start,map,map_start,,,0.000000,0.000000,676,0,285,768,34,98,1,34,34,9,0,0,0.000000,inf,inf,39,0.486200,0,inf,0,0.002839,0.000599,0.003467,0.014121
19.043149,1786670404.572654,1769605466.157845,1769605466.257717,map_start,map,map_start,,,0.000000,0.000000,763,0,323,831,38,98,2,37,1,0,0,0,0.000000,inf,inf,34,0.469297,0,inf,0,0.003024,0.000706,0.003763,0.031468
19.835192,1786670404.966865,1769605466.557896,1769605466.657809,map_start,map,map_start,,,0.000000,0.000000,759,0,326,851,38,94,2,37,1,0,0,0,0.000000,inf,inf,35,0.469297,0,inf,0,0.001726,0.000245,0.001982,0.020113
20.660538,1786670405.380183,1769605466.957787,1769605467.057767,map_start,map,map_start,,,0.000000,0.000000,859,0,361,947,38,90,2,37,1,0,0,0,0.000000,inf,inf,29,0.473552,0,inf,0,0.002851,0.000582,0.003460,0.031855
21.446327,1786670405.773700,1769605467.357737,1769605467.357737,map_start,map,map_start,,,0.000000,0.000000,967,0,412,1047,42,91,2,41,1,0,0,0,0.000000,inf,inf,35,0.493612,0,inf,0,0.003268,0.000800,0.004100,0.021140
22.245532,1786670406.173208,1769605467.657676,1769605467.757705,map_start,map,map_start,,,0.000000,0.000000,1013,0,438,1129,40,81,2,39,1,0,0,0,0.000000,inf,inf,33,0.500046,0,inf,0,0.003200,0.000676,0.003902,0.021140
23.035564,1786670406.566414,1769605467.957775,1769605468.057817,map_start,map,map_start,,,0.000000,0.000000,1081,0,482,1177,46,92,2,45,1,0,0,0,0.000000,inf,inf,37,0.489514,0,inf,0,0.001386,0.000265,0.001663,0.020773
23.849344,1786670406.975760,1769605468.357821,1769605468.457785,map_start,map,map_start,,,0.000000,0.000000,1259,0,556,1354,48,99,2,47,1,0,0,0,0.000000,inf,inf,45,0.494643,0,inf,0,0.001765,0.000900,0.002687,0.030102
24.659373,1786670407.379632,1769605468.757795,1769605468.757795,map_start,map,map_start,,,0.000000,0.000000,1380,0,593,1511,46,99,2,45,1,0,0,0,0.000000,inf,inf,43,0.503252,0,inf,0,0.004805,0.000887,0.005724,0.030102
