wall_elapsed_s,ros_time,map_stamp,odom_stamp,map_frame,source_odom_frame,graph_frame,goal_frame,path_frame,initial_position_error_m,initial_yaw_error_deg,static_points,dynamic_points,graph_static_points,accumulated_static_points,graph_nodes,graph_edges,graph_components,largest_component,robot_component,robot_degree,blocked_edges,path_poses,path_length_m,path_goal_error_m,path_min_clearance_m,graph_edges_checked,graph_min_clearance_m,graph_clearance_violations,waypoint_path_distance_m,reached,semantic_snapshot_s,semantic_update_s,semantic_callback_s,main_loop_s
3.941272,1786670396.963951,1769605459.457861,1769605459.457861,map_start,map,map_start,,,0.000000,0.000000,364,0,109,364,22,58,1,22,22,12,0,0,0.000000,inf,inf,32,0.485995,0,inf,0,0.003474,0.000476,0.004012,0.000000
4.749614,1786670397.368018,1769605459.857742,1769605459.857742,map_start,map,map_start,,,0.000000,0.000000,420,0,133,432,22,57,1,22,22,11,0,0,0.000000,inf,inf,31,0.461736,0,inf,0,0.001453,0.000269,0.001741,0.000048
5.557594,1786670397.772449,1769605460.157801,1769605460.157801,map_start,map,map_start,,,0.000000,0.000000,480,0,157,492,23,57,1,23,23,9,0,0,0.000000,inf,inf,29,0.473785,0,inf,0,0.001693,0.000381,0.002098,0.006600
6.358034,1786670398.172382,1769605460.557768,1769605460.557768,map_start,map,map_start,,,0.000000,0.000000,536,0,181,544,21,46,1,21,21,7,0,0,0.000000,inf,inf,25,0.473785,0,inf,0,0.002040,0.000564,0.002624,0.015043
7.158104,1786670398.571348,1769605460.857878,1769605460.957700,map_start,map,map_start,,,0.000000,0.000000,548,0,185,568,22,49,1,22,22,7,0,0,0.000000,inf,inf,26,0.473785,0,inf,0,0.002102,0.000468,0.002598,0.016207
7.956040,1786670398.970553,1769605461.257947,1769605461.257947,map_start,map,map_start,,,0.000000,0.000000,560,0,201,584,22,50,1,22,22,8,0,0,0.000000,inf,inf,28,0.478615,0,inf,0,0.002326,0.000428,0.002787,0.018428
8.749468,1786670399.370371,1769605461.557801,1769605461.657746,map_start,map,map_start,,,0.000000,0.000000,564,0,204,588,22,52,1,22,22,8,0,0,0.000000,inf,inf,28,0.478615,0,inf,0,0.002257,0.000481,0.002766,0.011015
9.547087,1786670399.770280,1769605461.957834,1769605462.057748,map_start,map,map_start,,,0.000000,0.000000,560,0,207,596,23,54,1,23,23,8,0,0,0.000000,inf,inf,28,0.478615,0,inf,0,0.001827,0.000417,0.002268,0.011015
10.354192,1786670400.174165,1769605462.357857,1769605462.357857,map_start,map,map_start,,,0.000000,0.000000,576,0,216,616,22,52,1,22,22,8,0,0,0.000000,inf,inf,27,0.476712,0,inf,0,0.002149,0.000397,0.002568,0.009749
11.163563,1786670400.578601,1769605462.657860,1769605462.757703,map_start,map,map_start,,,0.000000,0.000000,624,0,231,660,25,60,1,25,25,8,0,0,0.000000,inf,inf,30,0.476712,0,inf,0,0.001361,0.000299,0.001678,0.018830
11.948461,1786670400.969772,1769605463.057787,1769605463.057787,map_start,map,map_start,,,0.000000,0.000000,632,0,231,668,25,59,1,25,25,8,0,0,0.000000,inf,inf,30,0.476712,0,inf,0,0.002298,0.000504,0.002829,0.019200
12.750717,1786670401.369082,1769605463.358770,1769605463.457826,map_start,map,map_start,,,0.000000,0.000000,624,0,231,676,29,62,2,27,27,7,0,0,0.000000,inf,inf,31,0.480433,0,inf,0,0.002082,0.000414,0.002518,0.012804
